# parquet_sha256=ed5ec62ff3715cc87d900a24511576f60cb446f31414c51e6c7a83a9e9f7d1db
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,308.82,13229804974.69,16.49,True,10.98,False,3.83,False,2026-05-22
ADI,A,"Analog Devices, Inc. - Common Stock",,397.07,1545670671.78,47.46,True,21.51,True,16.26,True,2026-05-22
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,324.86,292724120.98,37.54,True,15.80,True,10.74,False,2026-05-22
AGX,A,"Argan, Inc. Common Stock",,656.35,191958761.37,98.74,True,8.41,False,25.18,True,2026-05-22
ALAB,A,"Astera Labs, Inc. - Common Stock",,306.88,1340685242.29,105.79,True,91.30,True,43.22,True,2026-05-22
AMAT,A,"Applied Materials, Inc. - Common Stock",,432.16,2861089107.75,44.34,True,18.59,True,19.94,True,2026-05-22
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,467.51,15501066729.98,88.05,True,46.52,True,33.53,True,2026-05-22
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,301.96,95324831.04,15.22,True,4.93,False,6.44,False,2026-05-22
AMGN,A,Amgen Inc. - Common Stock,,339.30,888138361.41,22.84,True,14.91,False,6.36,False,2026-05-22
AMP,A,"Ameriprise Financial, Inc. Common Stock",,452.31,290912574.30,38.94,True,18.87,True,7.42,False,2026-05-22
AON,A,Aon plc Class A Ordinary Shares (Ireland),,324.78,448025474.11,15.22,True,1.79,False,3.07,False,2026-05-22
APP,A,Applovin Corporation - Class A Common Stock,,481.68,2105190993.13,54.39,True,10.70,False,15.48,True,2026-05-22
ARM,A,Arm Holdings plc - American Depositary Shares,,306.51,2450854230.76,112.00,True,91.39,True,41.50,True,2026-05-22
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,301.76,23073753.77,17.24,True,4.64,False,10.71,False,2026-05-22
AVGO,A,Broadcom Inc. - Common Stock,,414.14,8100892834.94,18.31,True,6.57,False,9.64,False,2026-05-22
AXON,A,"Axon Enterprise, Inc. - Common Stock",,386.00,456614004.94,34.07,True,13.37,False,8.60,False,2026-05-22
BAP,A,Credicorp Ltd. Common Stock,,334.30,147338461.10,50.00,True,30.44,True,17.48,True,2026-05-22
BE,A,Bloom Energy Corporation Class A Common Stock,,302.49,2799711674.65,81.08,True,43.78,True,25.57,True,2026-05-22
BLD,A,TopBuild Corp. Common Stock,,407.97,406079188.49,26.09,True,1.68,False,14.38,False,2026-05-22
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,342.49,12011028.83,17.76,True,10.49,False,11.31,False,2026-05-21
BURL,A,"Burlington Stores, Inc. Common Stock",,324.51,204485457.96,40.81,True,34.13,True,24.09,True,2026-05-22
CACC,A,Credit Acceptance Corporation - Common Stock,,544.80,76071263.69,33.86,True,10.63,False,10.01,False,2026-05-22
CACI,A,"CACI International, Inc. Class A Common Stock",,501.35,169842968.97,25.89,True,6.43,False,11.28,False,2026-05-22
CBOE,A,"Cboe Global Markets, Inc. Common Stock",,357.35,305515132.72,20.95,True,8.93,False,8.98,False,2026-05-22
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,373.59,811503932.61,50.00,True,27.60,True,15.13,True,2026-05-22
CHE,A,Chemed Corp,,439.36,104455715.97,15.69,True,2.26,False,2.19,False,2026-05-22
CIEN,A,Ciena Corporation Common Stock,,583.74,1116912702.31,100.49,True,59.21,True,32.47,True,2026-05-22
CLS,A,"Celestica, Inc. Common Stock",,367.37,902789507.40,44.33,True,24.70,True,12.60,False,2026-05-22
CMI,A,Cummins Inc. Common Stock,,639.55,598814487.75,66.66,True,38.32,True,31.09,True,2026-05-22
COHR,A,Coherent Corp. Common Stock,,377.57,2112268638.75,48.30,True,14.74,False,19.50,True,2026-05-22
