# parquet_sha256=661b327541c43e8b88e85e3339fd1811083c8ed2358756d5cbcdcefdce022dd6
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,419.01,1681806611.90,52.28,True,34.80,True,22.87,True,2026-05-28
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,317.08,310467702.23,32.62,True,6.71,False,14.79,False,2026-05-28
AGX,A,"Argan, Inc. Common Stock",,677.45,196883951.13,57.96,True,32.81,True,14.31,False,2026-05-28
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,308.53,75636148.79,15.61,True,2.87,False,4.23,False,2026-05-28
ALAB,A,"Astera Labs, Inc. - Common Stock",,349.17,1419329009.55,72.62,True,51.33,True,23.84,True,2026-05-28
AMAT,A,"Applied Materials, Inc. - Common Stock",,449.68,2926106824.24,40.79,True,22.32,True,22.73,True,2026-05-28
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,518.09,16527883865.32,95.60,True,68.50,True,36.38,True,2026-05-28
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,302.96,96352016.37,17.94,True,0.33,False,6.69,False,2026-05-28
AMP,A,"Ameriprise Financial, Inc. Common Stock",,439.85,290267850.43,21.76,True,10.72,False,12.33,False,2026-05-28
APP,A,Applovin Corporation - Class A Common Stock,,599.89,2295522887.91,133.30,True,114.00,True,53.59,True,2026-05-28
ARM,A,Arm Holdings plc - American Depositary Shares,,335.27,2743821581.87,83.42,True,37.04,True,32.56,True,2026-05-28
AVGO,A,Broadcom Inc. - Common Stock,,426.58,7912413120.90,25.10,True,12.01,False,7.87,False,2026-05-28
AXON,A,"Axon Enterprise, Inc. - Common Stock",,439.32,458871111.04,74.35,True,49.48,True,48.00,True,2026-05-28
AYI,A,Acuity Inc. Common Stock,,300.31,94458631.49,27.88,True,19.18,True,9.99,False,2026-05-28
BAP,A,Credicorp Ltd. Common Stock,,341.50,136853399.05,25.50,True,2.50,False,17.45,True,2026-05-28
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,318.22,119288821.16,38.00,True,31.48,True,12.93,False,2026-05-28
BLD,A,TopBuild Corp. Common Stock,,420.68,412030256.51,17.72,True,9.50,False,5.38,False,2026-05-28
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,399.45,11913863.78,68.90,True,61.75,True,30.81,True,2026-05-28
BURL,A,"Burlington Stores, Inc. Common Stock",,300.52,240970067.97,54.81,True,15.52,True,25.71,True,2026-05-28
CACC,A,Credit Acceptance Corporation - Common Stock,,560.41,77718797.42,35.87,True,12.43,False,7.62,False,2026-05-28
CACI,A,"CACI International, Inc. Class A Common Stock",,522.85,169011516.12,48.60,True,32.78,True,12.01,False,2026-05-28
CASY,A,"Caseys General Stores, Inc. - Common Stock",,780.97,344391263.46,78.75,True,43.83,True,25.03,True,2026-05-28
CB,A,Chubb Limited  Common Stock,,316.22,518939648.79,16.00,True,14.04,False,4.82,False,2026-05-28
CBOE,A,"Cboe Global Markets, Inc. Common Stock",,344.24,314073754.26,21.13,True,7.70,False,6.80,False,2026-05-28
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,373.85,817714689.92,36.24,True,15.39,True,15.13,True,2026-05-28
CHE,A,Chemed Corp,,439.89,104169493.86,17.03,True,1.66,False,2.19,False,2026-05-28
CIEN,A,Ciena Corporation Common Stock,,570.18,1063513894.51,49.90,True,17.05,True,20.31,True,2026-05-28
CLS,A,"Celestica, Inc. Common Stock",,351.02,872756996.59,41.05,True,3.75,False,13.14,False,2026-05-28
