# parquet_sha256=382172884de0009ef46dcf4d45f8db2efe491aa8b199117f6c1c1deead4b40c9
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,402.69,1725075046.46,33.59,True,17.25,True,11.16,False,2026-06-01
AGX,A,"Argan, Inc. Common Stock",,646.89,187592616.63,53.93,True,23.77,True,20.13,True,2026-06-01
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,300.98,75231483.03,18.60,True,10.35,False,4.72,False,2026-06-01
ALAB,A,"Astera Labs, Inc. - Common Stock",,320.09,1491291504.09,64.03,True,1.37,False,23.84,True,2026-06-01
AMAT,A,"Applied Materials, Inc. - Common Stock",,458.17,3009296979.58,25.88,True,3.28,False,8.11,False,2026-06-01
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,510.13,16693078847.06,46.97,True,6.24,False,22.55,True,2026-06-01
AMGN,A,Amgen Inc. - Common Stock,,329.13,865322697.21,16.14,True,6.81,False,7.66,False,2026-06-01
AMP,A,"Ameriprise Financial, Inc. Common Stock",,447.15,300805386.00,18.94,True,8.35,False,12.33,False,2026-06-01
APP,A,Applovin Corporation - Class A Common Stock,,613.70,2377289893.40,125.00,True,99.46,True,53.59,True,2026-06-01
ARM,A,Arm Holdings plc - American Depositary Shares,,408.85,3090131620.08,121.69,True,87.63,True,55.56,True,2026-06-01
AVGO,A,Broadcom Inc. - Common Stock,,459.97,8474257190.72,52.04,True,37.96,True,20.19,True,2026-06-01
AXON,A,"Axon Enterprise, Inc. - Common Stock",,476.88,477752225.42,110.84,True,91.58,True,48.00,True,2026-06-01
AYI,A,Acuity Inc. Common Stock,,307.00,94101645.42,21.53,True,9.42,False,4.80,False,2026-06-01
BAP,A,Credicorp Ltd. Common Stock,,340.56,129590518.87,18.66,True,11.19,False,6.74,False,2026-06-01
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,305.46,124581668.00,35.59,True,8.56,False,12.93,False,2026-06-01
BLD,A,TopBuild Corp. Common Stock,,412.19,429326044.09,17.03,True,1.16,False,5.29,False,2026-06-01
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,434.68,13755278.60,80.98,True,77.04,True,36.62,True,2026-06-01
BURL,A,"Burlington Stores, Inc. Common Stock",,314.01,269689000.44,54.81,True,12.56,False,25.71,True,2026-06-01
CACC,A,Credit Acceptance Corporation - Common Stock,,561.67,76684088.13,38.33,True,9.66,False,13.23,False,2026-06-01
CACI,A,"CACI International, Inc. Class A Common Stock",,524.92,172491846.04,56.89,True,23.79,True,12.01,False,2026-06-01
CASY,A,"Caseys General Stores, Inc. - Common Stock",,745.58,368286142.39,93.52,True,63.83,True,25.03,True,2026-06-01
CB,A,Chubb Limited  Common Stock,,309.78,535792496.84,20.35,True,15.67,True,4.82,False,2026-06-01
CBOE,A,"Cboe Global Markets, Inc. Common Stock",,300.99,347370111.07,57.48,True,53.50,True,32.57,True,2026-06-01
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,414.16,874929883.88,47.93,True,32.41,True,39.23,True,2026-06-01
CHE,A,Chemed Corp,,422.84,105278027.80,27.83,True,14.49,False,13.48,False,2026-06-01
CIEN,A,Ciena Corporation Common Stock,,569.61,1122714667.02,66.04,True,32.78,True,20.31,True,2026-06-01
CLS,A,"Celestica, Inc. Common Stock",,426.55,905694544.51,87.96,True,55.71,True,41.16,True,2026-06-01
