# parquet_sha256=4e715cc4bfa4c62b73a36a6f2c880e268849164b93f4ee2b0e5c54fd231815a5
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,401.39,1839306060.24,39.79,True,1.30,False,27.37,True,2026-06-05
AGX,A,"Argan, Inc. Common Stock",,694.72,207572979.86,142.58,True,47.83,True,23.23,True,2026-06-05
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,315.29,75454216.00,19.96,True,14.31,False,7.33,False,2026-06-05
ALAB,A,"Astera Labs, Inc. - Common Stock",,317.06,1574823102.91,57.53,True,3.03,False,40.99,True,2026-06-05
ALNY,A,"Alnylam Pharmaceuticals, Inc. - Common Stock",,303.05,318701212.30,27.43,True,7.42,False,11.06,False,2026-06-05
AMAT,A,"Applied Materials, Inc. - Common Stock",,453.01,3376726679.37,72.53,True,5.16,False,48.69,True,2026-06-05
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,466.38,17235068410.44,82.49,True,43.75,True,56.82,True,2026-06-05
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,336.81,101863676.98,38.26,True,34.36,True,23.21,True,2026-06-05
AMGN,A,Amgen Inc. - Common Stock,,349.58,885283245.95,34.20,True,20.45,True,9.96,False,2026-06-05
AMP,A,"Ameriprise Financial, Inc. Common Stock",,454.66,298603840.63,25.28,True,7.51,False,14.16,False,2026-06-05
AON,A,Aon plc Class A Ordinary Shares (Ireland),,328.53,475633811.87,20.06,True,8.12,False,6.64,False,2026-06-05
APP,A,Applovin Corporation - Class A Common Stock,,557.20,2461694937.67,73.22,True,56.50,True,34.80,True,2026-06-05
ARM,A,Arm Holdings plc - American Depositary Shares,,342.93,3480572266.52,90.44,True,65.92,True,50.51,True,2026-06-05
AVGO,A,Broadcom Inc. - Common Stock,,385.73,10640134335.96,109.41,True,74.24,True,60.32,True,2026-06-05
AXON,A,"Axon Enterprise, Inc. - Common Stock",,486.12,521985094.19,63.78,True,9.24,False,31.72,True,2026-06-05
BAP,A,Credicorp Ltd. Common Stock,,322.50,146801241.63,34.13,True,18.06,True,16.51,True,2026-06-05
BLD,A,TopBuild Corp. Common Stock,,401.82,341864979.34,19.91,True,10.37,False,5.12,False,2026-06-05
