# parquet_sha256=c9e21463877a1ebd7a2f0e0e7b27cb3fb8f42d7928026dd7b2d27df61b4971dc
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,301.54,14973151349.12,16.23,True,13.66,False,5.80,False,2026-06-08
ADI,A,"Analog Devices, Inc. - Common Stock",,403.89,1848408768.64,38.44,True,19.31,True,27.37,True,2026-06-08
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,306.11,328526454.07,33.88,True,6.17,False,26.11,True,2026-06-08
AGX,A,"Argan, Inc. Common Stock",,619.98,217277548.91,177.80,True,43.16,True,74.74,True,2026-06-08
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,314.42,75697286.29,17.04,True,6.11,False,5.08,False,2026-06-08
ALAB,A,"Astera Labs, Inc. - Common Stock",,346.33,1585843186.89,57.53,True,9.43,False,40.99,True,2026-06-08
AMAT,A,"Applied Materials, Inc. - Common Stock",,492.17,3450687411.00,57.85,True,2.12,False,48.69,True,2026-06-08
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,490.33,16700793854.49,82.49,True,31.21,True,56.82,True,2026-06-08
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,336.62,105844942.97,45.26,True,26.10,True,23.21,True,2026-06-08
AMGN,A,Amgen Inc. - Common Stock,,345.73,888678762.22,34.20,True,17.47,True,9.96,False,2026-06-08
AMP,A,"Ameriprise Financial, Inc. Common Stock",,449.38,288287413.41,25.28,True,3.98,False,14.16,False,2026-06-08
AON,A,Aon plc Class A Ordinary Shares (Ireland),,325.85,483454970.61,20.06,True,7.99,False,6.64,False,2026-06-08
APP,A,Applovin Corporation - Class A Common Stock,,563.69,2469680258.26,68.22,True,41.94,True,34.80,True,2026-06-08
ARM,A,Arm Holdings plc - American Depositary Shares,,346.39,3424829955.53,90.44,True,56.32,True,50.51,True,2026-06-08
AVGO,A,Broadcom Inc. - Common Stock,,396.60,10813676484.55,109.41,True,84.97,True,60.32,True,2026-06-08
AXON,A,"Axon Enterprise, Inc. - Common Stock",,471.06,525932929.66,59.19,True,19.06,True,31.72,True,2026-06-08
BAP,A,Credicorp Ltd. Common Stock,,319.89,160241232.82,45.88,True,24.04,True,16.51,True,2026-06-08
BLD,A,TopBuild Corp. Common Stock,,399.03,342175214.18,17.69,True,8.04,False,4.49,False,2026-06-08
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,419.49,16198055.07,45.98,True,8.45,False,39.44,True,2026-06-08
BURL,A,"Burlington Stores, Inc. Common Stock",,314.00,297398580.42,24.52,True,7.07,False,7.63,False,2026-06-08
CACC,A,Credit Acceptance Corporation - Common Stock,,562.66,80304973.93,45.30,True,20.72,True,17.95,True,2026-06-08
CACI,A,"CACI International, Inc. Class A Common Stock",,519.14,157565893.12,33.47,True,5.66,False,12.27,False,2026-06-08
CASY,A,"Caseys General Stores, Inc. - Common Stock",,751.63,383606146.10,49.30,True,2.58,False,19.98,True,2026-06-08
CB,A,Chubb Limited  Common Stock,,321.88,539385289.05,19.99,True,9.61,False,11.77,False,2026-06-08
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,394.24,930205864.76,43.15,True,22.15,True,35.49,True,2026-06-08
CHE,A,Chemed Corp,,439.13,98797326.70,27.56,True,21.92,True,9.65,False,2026-06-08
CIEN,A,Ciena Corporation Common Stock,,466.67,1352977814.95,179.72,True,160.33,True,84.74,True,2026-06-08
CLS,A,"Celestica, Inc. Common Stock",,386.50,991530854.24,107.02,True,85.90,True,53.65,True,2026-06-08
CMI,A,Cummins Inc. Common Stock,,672.68,647112163.67,45.81,True,0.01,False,26.88,True,2026-06-08
COHR,A,Coherent Corp. Common Stock,,401.93,2338029795.90,64.91,True,24.96,True,44.91,True,2026-06-08
CPAY,A,"Corpay, Inc. Common Stock",,349.01,189309951.45,22.24,True,10.81,False,9.73,False,2026-06-08
CRS,A,Carpenter Technology Corporation Common Stock,,499.09,282044341.21,23.96,True,11.84,False,15.49,True,2026-06-08
CRWD,A,"CrowdStrike Holdings, Inc. - Class A Common Stock",,658.79,2127870156.73,126.81,True,110.16,True,48.07,True,2026-06-08
