# parquet_sha256=e33966f313eedf8e2f28d7ae1fe1d505ddf28348c2075a82041cd78bb28f604e
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,427.58,1943231333.98,49.68,True,22.96,True,19.46,True,2026-06-15
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,370.66,346250806.20,87.55,True,59.02,True,32.23,True,2026-06-15
AGX,A,"Argan, Inc. Common Stock",,688.87,222636993.58,118.62,True,74.94,True,47.19,True,2026-06-15
ALAB,A,"Astera Labs, Inc. - Common Stock",,389.20,1779319884.49,95.13,True,47.50,True,36.61,True,2026-06-15
AMAT,A,"Applied Materials, Inc. - Common Stock",,585.78,4018566512.71,133.11,True,86.57,True,55.63,True,2026-06-15
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,547.26,16936955526.09,121.14,True,71.76,True,36.05,True,2026-06-15
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,352.93,104966002.05,30.88,True,10.81,False,10.29,False,2026-06-15
AMGN,A,Amgen Inc. - Common Stock,,350.53,932001533.26,20.97,True,5.96,False,16.33,True,2026-06-15
AMP,A,"Ameriprise Financial, Inc. Common Stock",,459.88,274229267.35,24.54,True,10.69,False,8.75,False,2026-06-15
AON,A,Aon plc Class A Ordinary Shares (Ireland),,329.51,485446702.37,19.21,True,2.08,False,5.80,False,2026-06-15
APP,A,Applovin Corporation - Class A Common Stock,,520.86,2722580291.41,95.66,True,0.02,False,27.86,True,2026-06-15
ARM,A,Arm Holdings plc - American Depositary Shares,,412.55,3837437921.12,117.79,True,87.69,True,38.58,True,2026-06-15
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,301.00,23404366.07,27.99,True,22.87,True,13.91,False,2026-06-15
AVGO,A,Broadcom Inc. - Common Stock,,393.94,11734065085.82,37.54,True,1.78,False,20.06,True,2026-06-15
AXON,A,"Axon Enterprise, Inc. - Common Stock",,443.21,533076891.50,56.44,True,9.30,False,4.92,False,2026-06-15
AXP,A,American Express Company Common Stock,,335.38,944758379.71,30.36,True,17.00,True,9.94,False,2026-06-15
AYI,A,Acuity Inc. Common Stock,,302.53,97691429.11,27.27,True,2.65,False,19.49,True,2026-06-15
BAP,A,Credicorp Ltd. Common Stock,,362.32,193443161.25,37.68,True,12.71,False,16.72,True,2026-06-15
BELFB,A,Bel Fuse Inc. - Class B Common Stock,,302.15,85433683.83,43.96,True,26.11,True,19.60,True,2026-06-15
BH,A,Biglari Holdings Inc. Class B Common Stock,,343.73,19532122.48,52.08,True,39.55,True,23.68,True,2026-06-15
BLD,A,TopBuild Corp. Common Stock,,412.04,328117015.90,33.04,True,3.04,False,16.62,True,2026-06-15
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,420.40,16261733.44,27.29,True,0.91,False,19.09,True,2026-06-15
BURL,A,"Burlington Stores, Inc. Common Stock",,336.60,302871823.37,31.56,True,12.18,False,15.36,True,2026-06-15
CACC,A,Credit Acceptance Corporation - Common Stock,,572.79,88131485.44,53.96,True,3.47,False,24.64,True,2026-06-15
CACI,A,"CACI International, Inc. Class A Common Stock",,507.56,149075186.98,35.42,True,17.48,True,11.84,False,2026-06-15
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,394.50,881966785.72,30.73,True,3.60,False,9.54,False,2026-06-15
CHE,A,Chemed Corp,,423.49,92079659.14,38.99,True,22.77,True,13.55,False,2026-06-15
CIEN,A,Ciena Corporation Common Stock,,463.41,1485225183.55,62.17,True,24.07,True,17.43,True,2026-06-15
CLS,A,"Celestica, Inc. Common Stock",,403.45,860784610.61,69.23,True,31.59,True,22.94,True,2026-06-15
CMI,A,Cummins Inc. Common Stock,,679.71,671236761.64,57.85,True,10.48,False,38.71,True,2026-06-15
COHR,A,Coherent Corp. Common Stock,,413.84,2403204780.38,85.09,True,57.90,True,28.81,True,2026-06-15
CPAY,A,"Corpay, Inc. Common Stock",,353.47,196010609.96,17.70,True,4.37,False,8.85,False,2026-06-15
CRS,A,Carpenter Technology Corporation Common Stock,,563.60,293857312.67,75.52,True,39.83,True,39.40,True,2026-06-15
CRWD,A,"CrowdStrike Holdings, Inc. - Class A Common Stock",,692.91,2304311808.16,84.43,True,47.98,True,43.79,True,2026-06-15
CSL,A,Carlisle Companies Incorporated Common Stock,,353.55,124914261.27,31.80,True,5.87,False,19.86,True,2026-06-15
CVCO,A,"Cavco Industries, Inc. - Common Stock",,592.48,70869591.64,47.96,True,14.17,False,34.44,True,2026-06-15
CW,A,Curtiss-Wright Corporation Common Stock,,762.59,204547427.52,71.30,True,29.02,True,38.21,True,2026-06-15
DAVE,A,Dave Inc.  - Class A Common Stock,,308.75,166045638.76,62.03,True,30.04,True,21.97,True,2026-06-15
DDS,A,"Dillard's, Inc. Common Stock",,565.78,72040381.96,65.64,True,43.41,True,44.23,True,2026-06-15
DE,A,Deere & Company Common Stock,,575.47,782092446.36,36.73,True,1.86,False,17.28,True,2026-06-15
DELL,A,Dell Technologies Inc. Class C Common Stock ,,409.07,3629827810.84,58.84,True,27.29,True,21.62,True,2026-06-15
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,556.33,17224228.51,66.06,True,28.81,True,33.04,True,2026-06-15
DPZ,A,Domino's Pizza Inc - Common Stock,,316.52,251733764.91,20.13,True,1.17,False,11.62,False,2026-06-15
DY,A,"Dycom Industries, Inc. Common Stock",,471.30,242476907.67,55.95,True,17.51,True,18.68,True,2026-06-15
ELV,A,"Elevance Health, Inc. Common Stock",,401.89,669854347.37,33.63,True,22.54,True,19.87,True,2026-06-15
ESE,A,ESCO Technologies Inc. Common Stock,,327.80,81648027.71,34.38,True,23.28,True,14.06,False,2026-06-15
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,407.06,1123773829.44,38.21,True,5.34,False,26.26,True,2026-06-15
EVR,A,Evercore Inc. Class A Common Stock,,365.53,146184953.34,33.28,True,8.42,False,16.33,True,2026-06-15
FDX,A,FedEx Corporation Common Stock,,338.75,664640603.16,26.41,True,6.99,False,18.75,True,2026-06-15
FFIV,A,"F5, Inc. - Common Stock",,396.81,250469475.93,22.07,True,1.58,False,4.46,False,2026-06-15
FN,A,Fabrinet Ordinary Shares,,635.58,656387544.50,100.88,True,49.58,True,28.77,True,2026-06-15
GD,A,General Dynamics Corporation Common Stock,,359.53,393868958.22,22.96,True,13.85,False,17.79,True,2026-06-15
GE,A,GE Aerospace Common Stock,,342.26,1548435384.47,30.65,True,11.82,False,14.05,False,2026-06-15
GOOG,A,Alphabet Inc. - Class C Capital Stock,,367.11,8011562852.15,27.02,True,4.82,False,8.97,False,2026-06-15
GOOGL,A,Alphabet Inc. - Class A Common Stock,,369.35,11517052079.61,26.63,True,5.09,False,9.67,False,2026-06-15
GPI,A,"Group 1 Automotive, Inc. Common Stock",,325.74,55788989.19,15.86,True,2.55,False,2.19,False,2026-06-15
HCA,A,"HCA Healthcare, Inc. Common Stock",,389.97,652150841.19,27.32,True,15.07,True,8.67,False,2026-06-15
HD,A,"Home Depot, Inc. (The) Common Stock",,329.82,1645720609.33,27.73,True,8.49,False,7.09,False,2026-06-15
HEI,A,Heico Corporation Common Stock,,336.18,253004569.02,29.50,True,9.76,False,18.34,True,2026-06-15
HLT,A,Hilton Worldwide Holdings Inc. Common Stock ,,347.11,496537007.43,23.40,True,4.54,False,4.35,False,2026-06-15
HUBB,A,Hubbell Inc Common Stock,,489.73,337534339.50,32.21,True,3.26,False,18.88,True,2026-06-15
HUM,A,Humana Inc. Common Stock,,380.26,473594884.95,25.49,True,17.08,True,10.53,False,2026-06-15
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,570.00,354584621.61,31.50,True,8.89,False,21.95,True,2026-06-15
IESC,A,"IES Holdings, Inc. - Common Stock",,726.41,139456261.76,108.30,True,0.10,False,53.13,True,2026-06-15
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,416.55,1031859802.89,28.12,True,10.06,False,14.59,False,2026-06-15
JBL,A,Jabil Inc. Common Stock,,385.63,442526709.69,57.42,True,23.25,True,24.53,True,2026-06-15
JPM,A,JP Morgan Chase & Co. Common Stock,,319.40,2626133465.15,17.04,True,6.70,False,7.23,False,2026-06-15
KEYS,A,Keysight Technologies Inc. Common Stock,,356.94,579009257.00,45.93,True,25.51,True,16.03,True,2026-06-15
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,311.83,97320054.67,20.24,True,8.58,False,10.32,False,2026-06-15
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,324.75,92573955.63,29.20,True,15.00,True,9.13,False,2026-06-15
LAD,A,"Lithia Motors, Inc. Common Stock",,308.52,81413335.76,29.96,True,4.65,False,7.83,False,2026-06-15
LFUS,A,"Littelfuse, Inc. - Common Stock",,476.90,170974070.86,68.37,True,20.90,True,23.54,True,2026-06-15
LHX,A,"L3Harris Technologies, Inc. Common Stock",,304.17,370227968.38,15.35,True,4.00,False,9.17,False,2026-06-15
LII,A,"Lennox International, Inc. Common Stock",,524.17,192481132.41,38.72,True,4.87,False,24.24,True,2026-06-15
LIN,A,Linde plc - Ordinary Shares,,521.48,1146736526.26,20.91,True,5.89,False,8.13,False,2026-06-15
LMT,A,Lockheed Martin Corporation Common Stock,,530.36,641851818.40,32.12,True,0.23,False,23.66,True,2026-06-15
LRCX,A,Lam Research Corporation - Common Stock,,388.92,3136924263.91,87.06,True,61.76,True,40.72,True,2026-06-15
MA,A,Mastercard Incorporated Common Stock,,490.64,1857792884.60,16.80,True,4.60,False,6.16,False,2026-06-15
MAR,A,Marriott International - Class A Common Stock,,400.63,529805013.57,25.82,True,7.02,False,10.66,False,2026-06-15
MCK,A,McKesson Corporation Common Stock,,779.78,963419948.71,41.11,True,4.45,False,6.21,False,2026-06-15
MCO,A,Moody's Corporation Common Stock,,454.06,444182681.53,22.71,True,4.12,False,8.87,False,2026-06-15
MDB,A,"MongoDB, Inc. - Class A Common Stock",,354.18,840697727.97,39.04,True,13.90,False,11.61,False,2026-06-15
MDGL,A,"Madrigal Pharmaceuticals, Inc. - Common Stock",,499.76,146956834.88,39.82,True,22.87,True,18.99,True,2026-06-15
MEDP,A,"Medpace Holdings, Inc. - Common Stock",,467.50,133183343.47,22.33,True,0.71,False,9.34,False,2026-06-15
META,A,"Meta Platforms, Inc. - Class A Common Stock",,593.48,10177746945.46,44.26,True,8.89,False,26.50,True,2026-06-15
MKSI,A,MKS Inc. - Common Stock,,375.32,387787833.31,79.66,True,54.36,True,29.25,True,2026-06-15
MLM,A,"Martin Marietta Materials, Inc. Common Stock",,588.89,310925180.91,58.13,True,16.64,True,19.38,True,2026-06-15
MRVL,A,"Marvell Technology, Inc. - Common Stock",,308.88,11188683141.47,68.98,True,42.00,True,29.18,True,2026-06-15
