# parquet_sha256=f9a38e90597f981f3441aae71aba3496d929526c216964324cdfb18607cf6136
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,416.00,1978228813.29,46.24,True,23.33,True,19.46,True,2026-06-16
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,350.45,345157814.99,75.60,True,42.28,True,32.23,True,2026-06-16
AGX,A,"Argan, Inc. Common Stock",,690.39,226791362.67,151.45,True,101.49,True,47.19,True,2026-06-16
ALAB,A,"Astera Labs, Inc. - Common Stock",,361.71,1823037284.55,68.73,True,30.85,True,36.61,True,2026-06-16
AMAT,A,"Applied Materials, Inc. - Common Stock",,568.23,4159099355.34,106.03,True,71.22,True,55.63,True,2026-06-16
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,507.29,16939280357.87,110.04,True,54.89,True,39.97,True,2026-06-16
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,357.50,103287398.17,29.29,True,22.16,True,10.29,False,2026-06-16
AMGN,A,Amgen Inc. - Common Stock,,347.84,935196248.27,20.97,True,10.11,False,16.33,True,2026-06-16
AMP,A,"Ameriprise Financial, Inc. Common Stock",,471.33,277927932.27,27.65,True,20.71,True,11.45,False,2026-06-16
APP,A,Applovin Corporation - Class A Common Stock,,515.20,2777996468.36,58.55,True,22.22,True,24.09,True,2026-06-16
ARM,A,Arm Holdings plc - American Depositary Shares,,396.34,3955665089.49,124.49,True,88.91,True,38.58,True,2026-06-16
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,305.18,23599866.37,33.60,True,28.85,True,13.91,False,2026-06-16
AVGO,A,Broadcom Inc. - Common Stock,,376.71,11920336882.22,25.65,True,4.61,False,17.23,True,2026-06-16
AXON,A,"Axon Enterprise, Inc. - Common Stock",,435.39,532708081.31,39.95,True,12.20,False,7.82,False,2026-06-16
AXP,A,American Express Company Common Stock,,340.74,957651449.49,32.55,True,27.40,True,9.94,False,2026-06-16
AYI,A,Acuity Inc. Common Stock,,306.34,97211781.03,33.38,True,25.95,True,8.64,False,2026-06-16
BAP,A,Credicorp Ltd. Common Stock,,364.28,197141407.14,33.36,True,12.62,False,16.72,True,2026-06-16
BH,A,Biglari Holdings Inc. Class B Common Stock,,341.25,19810853.67,43.66,True,29.39,True,23.68,True,2026-06-16
BLD,A,TopBuild Corp. Common Stock,,416.01,325014623.44,33.04,True,22.79,True,16.62,True,2026-06-16
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,416.47,16166249.14,21.34,True,5.58,False,19.09,True,2026-06-16
BURL,A,"Burlington Stores, Inc. Common Stock",,333.83,303205068.62,25.70,True,6.82,False,15.36,True,2026-06-16
CACC,A,Credit Acceptance Corporation - Common Stock,,574.10,88887493.42,58.76,True,16.89,True,24.64,True,2026-06-16
