# parquet_sha256=f77ce28513d78dc7876430fffebc4c20a9ffaeb226dee023111de49fae1aad28
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,414.45,1982904395.22,41.64,True,2.32,False,11.58,False,2026-06-17
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,353.32,326027256.42,60.75,True,12.92,False,20.21,True,2026-06-17
AGX,A,"Argan, Inc. Common Stock",,719.52,227346448.18,137.65,True,95.86,True,47.19,True,2026-06-17
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,329.89,76012485.53,21.02,True,11.00,False,8.20,False,2026-06-17
ALAB,A,"Astera Labs, Inc. - Common Stock",,374.68,1828465492.55,58.88,True,7.21,False,27.49,True,2026-06-17
AMAT,A,"Applied Materials, Inc. - Common Stock",,592.92,4290840691.53,103.45,True,40.28,True,24.69,True,2026-06-17
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,512.48,16641297948.71,100.35,True,24.03,True,39.97,True,2026-06-17
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,355.67,103538754.46,28.33,True,11.34,False,10.29,False,2026-06-17
AMGN,A,Amgen Inc. - Common Stock,,341.66,938228335.20,19.56,True,12.40,False,6.18,False,2026-06-17
AMP,A,"Ameriprise Financial, Inc. Common Stock",,471.97,278727231.97,30.18,True,21.59,True,11.45,False,2026-06-17
AON,A,Aon plc Class A Ordinary Shares (Ireland),,326.69,497014960.37,15.10,True,8.48,False,5.80,False,2026-06-17
APP,A,Applovin Corporation - Class A Common Stock,,479.49,2813475134.58,58.55,True,0.92,False,35.71,True,2026-06-17
ARM,A,Arm Holdings plc - American Depositary Shares,,418.88,4063449505.22,134.62,True,76.65,True,38.58,True,2026-06-17
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,301.41,23491845.45,30.50,True,17.35,True,13.91,False,2026-06-17
AVGO,A,Broadcom Inc. - Common Stock,,392.90,12142628158.66,30.10,True,7.33,False,17.23,True,2026-06-17
AXON,A,"Axon Enterprise, Inc. - Common Stock",,423.01,526422805.46,35.46,True,23.19,True,12.38,False,2026-06-17
AXP,A,American Express Company Common Stock,,340.54,974856179.51,37.31,True,22.05,True,9.94,False,2026-06-17
AYI,A,Acuity Inc. Common Stock,,305.66,98785357.57,37.54,True,17.06,True,8.64,False,2026-06-17
BAP,A,Credicorp Ltd. Common Stock,,386.94,200955225.59,36.70,True,18.56,True,22.66,True,2026-06-17
BH,A,Biglari Holdings Inc. Class B Common Stock,,335.42,20313642.20,38.35,True,0.12,False,5.83,False,2026-06-17
BLD,A,TopBuild Corp. Common Stock,,410.89,317921157.10,32.87,True,1.05,False,5.12,False,2026-06-17
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,408.53,16108024.46,20.11,True,2.97,False,19.09,True,2026-06-17
BURL,A,"Burlington Stores, Inc. Common Stock",,330.76,305978143.72,17.73,True,11.61,False,3.92,False,2026-06-17
CACC,A,Credit Acceptance Corporation - Common Stock,,563.32,88526040.17,63.61,True,14.47,False,24.64,True,2026-06-17
CACI,A,"CACI International, Inc. Class A Common Stock",,494.94,146961023.94,43.60,True,30.48,True,11.84,False,2026-06-17
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,389.60,874351114.22,27.44,True,5.86,False,9.54,False,2026-06-17
CHE,A,Chemed Corp,,436.03,92641999.75,26.38,True,15.16,True,10.38,False,2026-06-17
CIEN,A,Ciena Corporation Common Stock,,436.72,1536443304.89,55.18,True,8.50,False,33.11,True,2026-06-17
CLS,A,"Celestica, Inc. Common Stock",,380.37,842459417.79,51.64,True,5.49,False,21.44,True,2026-06-17
CMI,A,Cummins Inc. Common Stock,,717.78,687361138.57,103.32,True,62.09,True,20.26,True,2026-06-17
COHR,A,Coherent Corp. Common Stock,,378.85,2412080789.02,78.70,True,15.27,True,31.03,True,2026-06-17
CPAY,A,"Corpay, Inc. Common Stock",,353.33,201302377.32,20.25,True,2.48,False,7.04,False,2026-06-17
CRS,A,Carpenter Technology Corporation Common Stock,,575.47,312005638.97,55.67,True,13.02,False,13.88,False,2026-06-17
CRWD,A,"CrowdStrike Holdings, Inc. - Class A Common Stock",,682.96,2331142034.28,61.17,True,8.57,False,13.42,False,2026-06-17
CSL,A,Carlisle Companies Incorporated Common Stock,,342.10,123954446.12,35.82,True,1.11,False,14.68,False,2026-06-17
CVCO,A,"Cavco Industries, Inc. - Common Stock",,586.05,72405559.55,52.39,True,12.90,False,18.42,True,2026-06-17
CW,A,Curtiss-Wright Corporation Common Stock,,777.29,209521483.99,61.49,True,20.06,True,12.68,False,2026-06-17
DDS,A,"Dillard's, Inc. Common Stock",,558.79,73601987.65,71.17,True,55.49,True,44.23,True,2026-06-17
DE,A,Deere & Company Common Stock,,588.47,793638201.28,41.86,True,19.83,True,9.82,False,2026-06-17
DELL,A,Dell Technologies Inc. Class C Common Stock ,,419.32,3778847973.35,64.80,True,27.87,True,15.24,True,2026-06-17
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,535.06,16887231.25,50.70,True,25.17,True,13.13,False,2026-06-17
DPZ,A,Domino's Pizza Inc - Common Stock,,314.36,247482766.78,20.13,True,2.10,False,11.62,False,2026-06-17
DY,A,"Dycom Industries, Inc. Common Stock",,461.38,241695606.42,39.81,True,3.19,False,10.34,False,2026-06-17
ELV,A,"Elevance Health, Inc. Common Stock",,391.27,672727932.87,18.92,True,7.91,False,6.53,False,2026-06-17
ESE,A,ESCO Technologies Inc. Common Stock,,333.72,81853285.41,32.99,True,17.80,True,14.06,False,2026-06-17
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,409.64,1038081185.99,41.11,True,16.00,True,15.67,True,2026-06-17
