# parquet_sha256=8b4583e590556903187d84ff9e103d7db43e7f853e78725046f6a16e4966af34
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,434.46,2100848004.49,32.25,True,16.67,True,20.01,True,2026-06-18
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,372.59,325096211.46,42.42,True,18.22,True,20.21,True,2026-06-18
AGX,A,"Argan, Inc. Common Stock",,738.85,232229508.54,132.01,True,97.17,True,47.19,True,2026-06-18
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,337.96,76697172.26,24.32,True,17.85,True,8.20,False,2026-06-18
ALAB,A,"Astera Labs, Inc. - Common Stock",,417.07,2081758176.89,61.14,True,49.92,True,42.39,True,2026-06-18
AMAT,A,"Applied Materials, Inc. - Common Stock",,617.11,4532578011.28,94.83,True,49.86,True,24.69,True,2026-06-18
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,537.37,16193840606.94,64.37,True,25.80,True,39.97,True,2026-06-18
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,352.90,108284817.85,17.89,True,1.72,False,4.57,False,2026-06-18
AMGN,A,Amgen Inc. - Common Stock,,337.60,998227974.01,24.25,True,17.60,True,6.18,False,2026-06-18
AMP,A,"Ameriprise Financial, Inc. Common Stock",,467.43,290360844.21,26.15,True,8.30,False,11.45,False,2026-06-18
AON,A,Aon plc Class A Ordinary Shares (Ireland),,317.74,507076624.38,20.73,True,17.57,True,8.95,False,2026-06-18
APP,A,Applovin Corporation - Class A Common Stock,,469.71,2838672313.55,70.35,True,27.06,True,35.71,True,2026-06-18
ARM,A,Arm Holdings plc - American Depositary Shares,,439.46,4356937157.71,102.66,True,58.65,True,31.74,True,2026-06-18
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,308.21,23144448.16,26.18,True,21.12,True,13.91,False,2026-06-18
AVGO,A,Broadcom Inc. - Common Stock,,411.35,12467045206.56,36.24,True,29.28,True,18.45,True,2026-06-18
AXON,A,"Axon Enterprise, Inc. - Common Stock",,423.40,524622324.13,55.57,True,18.33,True,12.38,False,2026-06-18
AXP,A,American Express Company Common Stock,,338.00,993969729.08,29.12,True,12.56,False,9.94,False,2026-06-18
AYI,A,Acuity Inc. Common Stock,,317.62,101844933.19,33.57,True,20.38,True,11.96,False,2026-06-18
BAP,A,Credicorp Ltd. Common Stock,,382.76,206252809.10,39.19,True,13.21,False,22.66,True,2026-06-18
BE,A,Bloom Energy Corporation Class A Common Stock,,328.91,2974950623.45,84.51,True,68.69,True,43.92,True,2026-06-18
BH,A,Biglari Holdings Inc. Class B Common Stock,,332.74,20336806.91,21.41,True,7.16,False,5.83,False,2026-06-18
BLD,A,TopBuild Corp. Common Stock,,426.51,326063286.53,18.89,True,15.43,True,15.62,True,2026-06-18
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,425.22,16090754.25,23.91,True,23.91,True,19.09,True,2026-06-18
BURL,A,"Burlington Stores, Inc. Common Stock",,336.95,313247782.41,18.99,True,1.50,False,6.19,False,2026-06-18
CACC,A,Credit Acceptance Corporation - Common Stock,,579.73,102410222.47,43.38,True,31.58,True,24.64,True,2026-06-18
CACI,A,"CACI International, Inc. Class A Common Stock",,466.42,147537381.91,68.27,True,52.98,True,28.52,True,2026-06-18
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,387.39,937294574.38,27.44,True,2.43,False,9.54,False,2026-06-18
CHE,A,Chemed Corp,,436.27,97442602.97,37.99,True,16.96,True,10.38,False,2026-06-18
CIEN,A,Ciena Corporation Common Stock,,428.22,1554623607.12,55.18,True,17.76,True,33.11,True,2026-06-18
CLS,A,"Celestica, Inc. Common Stock",,372.55,837032566.39,42.07,True,20.57,True,21.44,True,2026-06-18
CMI,A,Cummins Inc. Common Stock,,716.86,706009029.00,82.08,True,57.28,True,20.26,True,2026-06-18
COHR,A,Coherent Corp. Common Stock,,389.57,2398060797.05,69.81,True,4.54,False,31.03,True,2026-06-18
CPAY,A,"Corpay, Inc. Common Stock",,345.28,217508829.64,20.99,True,10.83,False,8.05,False,2026-06-18
CRS,A,Carpenter Technology Corporation Common Stock,,586.47,323645745.30,39.37,True,24.98,True,13.88,False,2026-06-18
CRWD,A,"CrowdStrike Holdings, Inc. - Class A Common Stock",,684.86,2419638335.99,41.25,True,2.06,False,13.42,False,2026-06-18
CSL,A,Carlisle Companies Incorporated Common Stock,,360.96,127509957.08,26.25,True,17.19,True,18.86,True,2026-06-18
CVCO,A,"Cavco Industries, Inc. - Common Stock",,601.51,75079971.22,37.88,True,8.75,False,18.42,True,2026-06-18
CW,A,Curtiss-Wright Corporation Common Stock,,771.93,229769663.00,46.49,True,13.93,False,12.68,False,2026-06-18
DAVE,A,Dave Inc.  - Class A Common Stock,,314.44,166879295.76,65.61,True,27.66,True,28.60,True,2026-06-18
DDS,A,"Dillard's, Inc. Common Stock",,554.86,72918943.70,71.17,True,55.15,True,44.23,True,2026-06-18
DE,A,Deere & Company Common Stock,,589.24,802449682.93,31.23,True,11.76,False,9.82,False,2026-06-18
DELL,A,Dell Technologies Inc. Class C Common Stock ,,409.50,3915390449.22,54.89,True,13.93,False,15.24,True,2026-06-18
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,529.04,17121294.76,63.72,True,27.16,True,13.13,False,2026-06-18
DPZ,A,Domino's Pizza Inc - Common Stock,,312.47,261353922.84,15.84,True,11.41,False,7.36,False,2026-06-18
DY,A,"Dycom Industries, Inc. Common Stock",,456.65,246095163.78,46.00,True,12.35,False,10.34,False,2026-06-18
ELV,A,"Elevance Health, Inc. Common Stock",,388.50,703822328.49,18.50,True,15.57,True,6.53,False,2026-06-18
ESE,A,ESCO Technologies Inc. Common Stock,,343.50,85298549.78,31.08,True,29.76,True,14.06,False,2026-06-18
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,788.23,103473105.89,101.85,True,65.83,True,39.41,True,2026-06-18
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,421.77,1044110890.12,37.58,True,30.38,True,15.67,True,2026-06-18
