# parquet_sha256=50652337310519021940af5de9948a27a2e6492d32aa325488e51c936dc49ca1
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,391.78,2331302634.91,49.05,True,15.48,True,31.02,True,2026-06-29
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,348.15,374023383.11,40.52,True,16.81,True,27.04,True,2026-06-29
AGX,A,"Argan, Inc. Common Stock",,791.56,257540642.31,89.16,True,54.79,True,26.10,True,2026-06-29
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,334.16,85238164.69,16.47,True,3.26,False,9.76,False,2026-06-29
ALAB,A,"Astera Labs, Inc. - Common Stock",,455.96,2321506267.47,84.26,True,58.94,True,64.22,True,2026-06-29
AMAT,A,"Applied Materials, Inc. - Common Stock",,694.64,5675895833.86,139.50,True,108.76,True,79.03,True,2026-06-29
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,539.49,15906108116.83,55.53,True,19.64,True,17.91,True,2026-06-29
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,342.46,115134627.99,22.14,True,7.76,False,11.12,False,2026-06-29
AMGN,A,Amgen Inc. - Common Stock,,360.55,1014411387.99,17.62,True,13.54,False,5.51,False,2026-06-29
AMP,A,"Ameriprise Financial, Inc. Common Stock",,446.79,334471023.62,29.56,True,19.32,True,7.66,False,2026-06-29
APP,A,Applovin Corporation - Class A Common Stock,,498.76,2674823297.83,88.03,True,31.74,True,31.15,True,2026-06-29
ARM,A,Arm Holdings plc - American Depositary Shares,,343.58,4503755234.43,86.13,True,22.81,True,13.44,False,2026-06-29
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,308.42,22660197.44,24.36,True,12.41,False,7.30,False,2026-06-29
AVGO,A,Broadcom Inc. - Common Stock,,372.45,12966353510.37,30.56,True,7.70,False,13.89,False,2026-06-29
AXON,A,"Axon Enterprise, Inc. - Common Stock",,510.60,521047022.09,110.34,True,77.56,True,45.77,True,2026-06-29
