# parquet_sha256=566ccf2f847b0dbec193abf1224268a903e1b868c13241443740975e5850198a
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,388.98,2381043702.51,49.05,True,28.95,True,31.02,True,2026-07-01
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,356.35,369824647.53,40.52,True,18.80,True,27.04,True,2026-07-01
AGX,A,"Argan, Inc. Common Stock",,764.56,257424199.55,96.91,True,11.49,False,33.99,True,2026-07-01
ALAB,A,"Astera Labs, Inc. - Common Stock",,430.86,2412616937.71,126.98,True,32.86,True,64.22,True,2026-07-01
ALNY,A,"Alnylam Pharmaceuticals, Inc. - Common Stock",,301.67,343876717.82,19.21,True,8.50,False,7.51,False,2026-07-01
AMAT,A,"Applied Materials, Inc. - Common Stock",,650.91,6121924811.49,129.97,True,17.09,True,72.09,True,2026-07-01
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,540.88,16273839532.77,89.38,True,8.31,False,41.42,True,2026-07-01
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,336.91,119445731.91,15.01,True,3.17,False,4.06,False,2026-07-01
AMP,A,"Ameriprise Financial, Inc. Common Stock",,479.68,341126176.76,36.81,True,26.39,True,20.92,True,2026-07-01
AON,A,Aon plc Class A Ordinary Shares (Ireland),,343.56,579796317.09,31.49,True,27.61,True,12.74,False,2026-07-01
APD,A,"Air Products and Chemicals, Inc. Common Stock",,306.40,422458172.96,37.65,True,26.47,True,21.83,True,2026-07-01
APP,A,Applovin Corporation - Class A Common Stock,,564.61,2719521219.10,156.29,True,118.68,True,49.38,True,2026-07-01
ARM,A,Arm Holdings plc - American Depositary Shares,,337.47,4501983523.42,76.30,True,10.24,False,17.10,True,2026-07-01
ASR,A,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,309.00,21801399.12,15.39,True,0.61,False,2.30,False,2026-07-01
AVGO,A,Broadcom Inc. - Common Stock,,369.34,13098179119.14,28.34,True,9.57,False,13.89,False,2026-07-01
AXON,A,"Axon Enterprise, Inc. - Common Stock",,593.96,557667867.56,170.99,True,149.23,True,50.01,True,2026-07-01
AXP,A,American Express Company Common Stock,,348.00,1029404314.48,15.95,True,5.54,False,9.75,False,2026-07-01
AYI,A,Acuity Inc. Common Stock,,367.53,146061006.35,42.89,True,8.14,False,9.13,False,2026-07-01
BAP,A,Credicorp Ltd. Common Stock,,387.00,209499170.25,28.13,True,6.59,False,4.84,False,2026-07-01
BELFB,A,Bel Fuse Inc. - Class B Common Stock,,318.06,89298565.37,39.93,True,7.74,False,17.39,True,2026-07-01
BH,A,Biglari Holdings Inc. Class B Common Stock,,420.65,21031852.22,85.82,True,44.71,True,33.34,True,2026-07-01
BLD,A,TopBuild Corp. Common Stock,,354.53,408730579.23,101.07,True,61.15,True,65.76,True,2026-06-30
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,453.95,9169134.54,27.82,True,4.50,False,10.30,False,2026-07-01
BURL,A,"Burlington Stores, Inc. Common Stock",,314.97,315226509.26,28.77,True,9.51,False,6.49,False,2026-07-01
CACC,A,Credit Acceptance Corporation - Common Stock,,655.72,105581529.40,58.23,True,32.02,True,18.98,True,2026-07-01
CACI,A,"CACI International, Inc. Class A Common Stock",,466.88,136482783.54,35.51,True,23.62,True,10.66,False,2026-07-01
CASY,A,"Caseys General Stores, Inc. - Common Stock",,784.28,547566202.66,41.41,True,0.43,False,14.55,False,2026-07-01
CB,A,Chubb Limited  Common Stock,,351.73,571198021.85,22.93,True,20.91,True,10.99,False,2026-07-01
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,377.73,1001649218.99,28.43,True,9.50,False,9.04,False,2026-07-01
CHE,A,Chemed Corp,,480.87,95500321.54,34.46,True,27.72,True,15.13,True,2026-07-01
CIEN,A,Ciena Corporation Common Stock,,462.44,1746080525.15,59.41,True,22.25,True,28.12,True,2026-07-01
CLS,A,"Celestica, Inc. Common Stock",,361.62,812436968.90,51.92,True,0.22,False,23.87,True,2026-07-01
CMI,A,Cummins Inc. Common Stock,,682.32,772492155.20,48.13,True,45.27,True,41.72,True,2026-07-01
COHR,A,Coherent Corp. Common Stock,,368.65,2291487942.85,77.32,True,38.60,True,26.69,True,2026-07-01
CPAY,A,"Corpay, Inc. Common Stock",,340.94,248978945.08,25.54,True,15.13,True,7.67,False,2026-07-01
CRS,A,Carpenter Technology Corporation Common Stock,,610.16,454760747.59,52.28,True,10.92,False,15.25,True,2026-07-01
CSL,A,Carlisle Companies Incorporated Common Stock,,360.85,153112207.87,46.76,True,27.55,True,15.72,True,2026-07-01
CVCO,A,"Cavco Industries, Inc. - Common Stock",,601.89,82336253.49,34.73,True,6.63,False,12.49,False,2026-07-01
CW,A,Curtiss-Wright Corporation Common Stock,,757.76,241157243.78,55.28,True,9.97,False,20.46,True,2026-07-01
DAVE,A,Dave Inc.  - Class A Common Stock,,383.13,203253390.18,92.35,True,60.38,True,25.96,True,2026-07-01
DDS,A,"Dillard's, Inc. Common Stock",,539.21,70937818.80,71.11,True,42.01,True,40.58,True,2026-07-01
DE,A,Deere & Company Common Stock,,627.63,894958727.69,32.28,True,3.13,False,17.52,True,2026-07-01
DELL,A,Dell Technologies Inc. Class C Common Stock ,,425.25,4340719733.33,59.86,True,15.80,True,16.85,True,2026-07-01
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,605.60,19946299.45,91.64,True,57.37,True,26.21,True,2026-07-01
DPZ,A,Domino's Pizza Inc - Common Stock,,304.18,270599164.35,21.40,True,18.74,True,12.74,False,2026-07-01
DY,A,"Dycom Industries, Inc. Common Stock",,470.51,339448426.35,46.01,True,23.10,True,35.08,True,2026-07-01
EG,A,"Everest Group, Ltd. Common Stock",,359.93,157654382.75,24.01,True,16.91,True,12.50,False,2026-07-01
ELV,A,"Elevance Health, Inc. Common Stock",,416.19,693049015.46,32.84,True,28.87,True,29.46,True,2026-07-01
ESE,A,ESCO Technologies Inc. Common Stock,,339.90,94738468.49,26.77,True,15.00,True,15.02,True,2026-07-01
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,759.98,94080855.33,66.66,True,27.27,True,26.06,True,2026-07-01
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,412.31,1033235360.51,29.81,True,7.56,False,17.86,True,2026-07-01
EVR,A,Evercore Inc. Class A Common Stock,,341.04,136445731.88,30.00,True,6.27,False,7.31,False,2026-07-01
FDX,A,FedEx Corporation Common Stock,,313.89,760076070.50,20.47,True,15.55,True,12.27,False,2026-07-01
FFIV,A,"F5, Inc. - Common Stock",,424.18,272314439.16,45.87,True,38.17,True,16.03,True,2026-07-01
FN,A,Fabrinet Ordinary Shares,,547.18,673001124.73,81.32,True,20.61,True,43.00,True,2026-07-01
GD,A,General Dynamics Corporation Common Stock,,362.86,440195533.00,23.12,True,18.16,True,8.62,False,2026-07-01
GE,A,GE Aerospace Common Stock,,374.94,1769291611.74,15.85,True,3.58,False,4.71,False,2026-07-01
GOOG,A,Alphabet Inc. - Class C Capital Stock,,357.89,9272549166.98,25.87,True,15.70,True,16.59,True,2026-07-01
GOOGL,A,Alphabet Inc. - Class A Common Stock,,361.21,13447082569.82,32.77,True,17.50,True,16.26,True,2026-07-01
HD,A,"Home Depot, Inc. (The) Common Stock",,350.84,1782208693.38,15.30,True,5.84,False,3.86,False,2026-07-01
HEI,A,Heico Corporation Common Stock,,359.70,210731724.08,30.44,True,17.25,True,5.75,False,2026-07-01
HIFS,A,Hingham Institution for Savings - Common Stock,,314.74,7754953.20,26.12,True,13.09,False,7.59,False,2026-07-01
HLT,A,Hilton Worldwide Holdings Inc. Common Stock ,,332.12,723810732.36,19.20,True,8.43,False,7.69,False,2026-07-01
HUBB,A,Hubbell Inc Common Stock,,490.12,338767682.65,58.25,True,45.92,True,33.08,True,2026-07-01
HUM,A,Humana Inc. Common Stock,,409.42,499604298.16,56.27,True,33.42,True,12.20,False,2026-07-01
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,537.58,372187659.82,52.29,True,17.36,True,15.57,True,2026-07-01
IESC,A,"IES Holdings, Inc. - Common Stock",,699.98,209485833.58,118.38,True,66.56,True,51.64,True,2026-07-01
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,402.38,1052146238.70,18.47,True,2.69,False,8.29,False,2026-07-01
JBL,A,Jabil Inc. Common Stock,,375.34,547666787.94,36.13,True,0.70,False,16.04,True,2026-07-01
JLL,A,Jones Lang LaSalle Incorporated Common Stock,,318.35,118564659.69,24.07,True,14.59,False,11.30,False,2026-07-01
JPM,A,JP Morgan Chase & Co. Common Stock,,334.07,3122494789.75,18.44,True,1.05,False,6.74,False,2026-07-01
KAI,A,Kadant Inc Common Stock,,306.96,51104997.25,19.51,True,15.11,True,10.77,False,2026-07-01
KEYS,A,Keysight Technologies Inc. Common Stock,,335.60,643400958.43,41.95,True,24.46,True,31.40,True,2026-07-01
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,345.27,102632667.71,39.90,True,36.84,True,20.00,True,2026-07-01
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,371.58,110270363.72,35.33,True,11.65,False,12.32,False,2026-07-01
LFUS,A,"Littelfuse, Inc. - Common Stock",,440.39,146542138.48,51.60,True,36.83,True,24.86,True,2026-07-01
LGND,A,Ligand Pharmaceuticals Incorporated - Common Stock,,312.01,115232074.09,34.99,True,16.09,True,10.45,False,2026-07-01
LII,A,"Lennox International, Inc. Common Stock",,571.08,218305811.62,32.13,True,0.35,False,6.86,False,2026-07-01
LIN,A,Linde plc - Ordinary Shares,,533.55,1300290172.75,32.17,True,11.27,False,14.61,False,2026-07-01
LMT,A,Lockheed Martin Corporation Common Stock,,521.82,701595998.79,29.99,True,16.80,True,12.36,False,2026-07-01
LRCX,A,Lam Research Corporation - Common Stock,,391.26,4426731186.44,66.20,True,10.56,False,42.07,True,2026-07-01
MA,A,Mastercard Incorporated Common Stock,,522.44,2012580350.79,41.83,True,33.52,True,10.62,False,2026-07-01
MAR,A,Marriott International - Class A Common Stock,,368.32,611970458.27,22.80,True,10.59,False,4.29,False,2026-07-01
MCK,A,McKesson Corporation Common Stock,,768.06,957824976.03,39.56,True,4.25,False,15.98,True,2026-07-01
MCO,A,Moody's Corporation Common Stock,,468.38,494545610.98,36.88,True,29.53,True,15.46,True,2026-07-01
MDB,A,"MongoDB, Inc. - Class A Common Stock",,359.38,868930703.59,71.19,True,65.28,True,24.17,True,2026-07-01
MDGL,A,"Madrigal Pharmaceuticals, Inc. - Common Stock",,514.39,186684377.54,40.82,True,0.60,False,22.56,True,2026-07-01
MEDP,A,"Medpace Holdings, Inc. - Common Stock",,543.57,144803118.42,42.45,True,23.61,True,13.98,False,2026-07-01
META,A,"Meta Platforms, Inc. - Class A Common Stock",,612.91,11115933805.35,88.10,True,70.04,True,49.62,True,2026-07-01
MKSI,A,MKS Inc. - Common Stock,,411.05,480794181.82,64.24,True,0.74,False,33.75,True,2026-07-01
MLM,A,"Martin Marietta Materials, Inc. Common Stock",,579.24,368502768.19,80.18,True,49.70,True,34.83,True,2026-07-01
MSCI,A,MSCI Inc. Common Stock,,582.03,436905912.95,47.44,True,37.47,True,21.99,True,2026-07-01
MSFT,A,Microsoft Corporation - Common Stock,,384.28,18128268301.34,39.63,True,31.45,True,20.14,True,2026-07-01
