# parquet_sha256=30d1288fd25b1e561a4a6d04281c629d1c16125a559c30397a19790133548977
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,308.63,18509073065.62,35.21,True,24.85,True,14.25,False,2026-07-02
ADI,A,"Analog Devices, Inc. - Common Stock",,377.16,2372806216.72,33.44,True,9.75,False,11.82,False,2026-07-02
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,311.27,364442667.67,72.08,True,36.84,True,45.08,True,2026-07-02
AGX,A,"Argan, Inc. Common Stock",,706.15,257032983.90,113.70,True,59.31,True,58.41,True,2026-07-02
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,330.85,87318257.43,16.25,True,6.23,False,6.07,False,2026-07-02
ALAB,A,"Astera Labs, Inc. - Common Stock",,406.42,2434170658.06,126.98,True,14.68,False,64.22,True,2026-07-02
ALNY,A,"Alnylam Pharmaceuticals, Inc. - Common Stock",,312.78,347720782.59,26.80,True,21.41,True,11.11,False,2026-07-02
AMAT,A,"Applied Materials, Inc. - Common Stock",,603.04,6309302155.72,157.77,True,23.80,True,72.09,True,2026-07-02
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,517.82,16226180114.80,89.38,True,3.76,False,41.42,True,2026-07-02
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,344.60,119506482.62,15.01,True,2.62,False,7.69,False,2026-07-02
AMGN,A,Amgen Inc. - Common Stock,,374.15,1006623560.37,20.99,True,15.82,True,12.82,False,2026-07-02
AMP,A,"Ameriprise Financial, Inc. Common Stock",,489.16,345897483.92,48.46,True,36.35,True,20.92,True,2026-07-02
AON,A,Aon plc Class A Ordinary Shares (Ireland),,357.46,570798601.24,40.72,True,28.77,True,13.90,False,2026-07-02
APD,A,"Air Products and Chemicals, Inc. Common Stock",,314.19,433605001.96,44.17,True,36.40,True,21.83,True,2026-07-02
APP,A,Applovin Corporation - Class A Common Stock,,527.06,2772482618.78,136.06,True,49.98,True,49.38,True,2026-07-02
ARM,A,Arm Holdings plc - American Depositary Shares,,315.28,4498096254.67,58.28,True,18.99,True,22.19,True,2026-07-02
AVGO,A,Broadcom Inc. - Common Stock,,360.45,13137066030.83,23.19,True,4.57,False,8.89,False,2026-07-02
AXON,A,"Axon Enterprise, Inc. - Common Stock",,597.04,568481073.24,170.99,True,132.21,True,50.01,True,2026-07-02
AXP,A,American Express Company Common Stock,,351.96,1027954005.86,15.52,True,11.60,False,9.75,False,2026-07-02
AYI,A,Acuity Inc. Common Stock,,359.04,148021152.48,34.96,True,3.44,False,9.13,False,2026-07-02
BAP,A,Credicorp Ltd. Common Stock,,391.21,205866986.80,19.79,True,7.11,False,4.84,False,2026-07-02
BH,A,Biglari Holdings Inc. Class B Common Stock,,420.92,21142243.89,66.31,True,16.93,True,33.34,True,2026-07-02
BLD,A,TopBuild Corp. Common Stock,,354.53,408730579.23,101.07,True,61.15,True,65.76,True,2026-06-30
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,448.25,8881932.73,27.82,True,2.79,False,10.30,False,2026-07-02
BURL,A,"Burlington Stores, Inc. Common Stock",,313.18,310993502.81,19.42,True,7.59,False,6.49,False,2026-07-02
CACC,A,Credit Acceptance Corporation - Common Stock,,657.12,107118566.82,54.51,True,28.26,True,18.98,True,2026-07-02
CACI,A,"CACI International, Inc. Class A Common Stock",,502.83,138931010.14,63.67,True,48.91,True,35.95,True,2026-07-02
CASY,A,"Caseys General Stores, Inc. - Common Stock",,797.42,551775766.34,41.41,True,18.79,True,14.55,False,2026-07-02
CB,A,Chubb Limited  Common Stock,,361.17,573182403.49,29.91,True,19.73,True,10.99,False,2026-07-02
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,373.14,1007777675.60,28.43,True,4.13,False,4.59,False,2026-07-02
CHE,A,Chemed Corp,,489.66,95816294.57,39.77,True,26.38,True,15.13,True,2026-07-02
CIEN,A,Ciena Corporation Common Stock,,422.46,1734320199.63,79.09,True,57.04,True,39.98,True,2026-07-02
CLS,A,"Celestica, Inc. Common Stock",,336.21,811338969.95,43.42,True,1.32,False,25.41,True,2026-07-02
CMI,A,Cummins Inc. Common Stock,,661.70,772581001.23,59.34,True,24.17,True,30.89,True,2026-07-02
COHR,A,Coherent Corp. Common Stock,,333.36,2300851181.73,73.80,True,47.20,True,35.29,True,2026-07-02
CPAY,A,"Corpay, Inc. Common Stock",,352.46,247623847.51,31.49,True,19.98,True,11.52,False,2026-07-02
CRS,A,Carpenter Technology Corporation Common Stock,,597.24,459417296.33,52.28,True,5.46,False,15.25,True,2026-07-02
CSL,A,Carlisle Companies Incorporated Common Stock,,366.73,152734613.08,46.76,True,21.65,True,15.72,True,2026-07-02
CVCO,A,"Cavco Industries, Inc. - Common Stock",,598.73,82295326.69,30.99,True,19.57,True,12.49,False,2026-07-02
CW,A,Curtiss-Wright Corporation Common Stock,,760.23,240699874.72,49.31,True,12.96,False,20.37,True,2026-07-02
DAVE,A,Dave Inc.  - Class A Common Stock,,387.36,207791863.42,92.35,True,38.65,True,22.91,True,2026-07-02
DDS,A,"Dillard's, Inc. Common Stock",,547.21,70510096.31,65.96,True,30.75,True,40.58,True,2026-07-02
DE,A,Deere & Company Common Stock,,621.27,902529823.31,30.37,True,8.03,False,13.39,False,2026-07-02
DELL,A,Dell Technologies Inc. Class C Common Stock ,,394.32,4395696003.36,59.86,True,5.17,False,30.93,True,2026-07-02
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,584.83,20046876.94,74.56,True,10.39,False,20.77,True,2026-07-02
DPZ,A,Domino's Pizza Inc - Common Stock,,311.66,270016436.00,24.75,True,13.48,False,8.14,False,2026-07-02
DY,A,"Dycom Industries, Inc. Common Stock",,437.76,338720077.13,80.07,True,50.49,True,35.08,True,2026-07-02
EG,A,"Everest Group, Ltd. Common Stock",,371.35,158126495.74,27.46,True,15.83,True,11.42,False,2026-07-02
ELV,A,"Elevance Health, Inc. Common Stock",,417.89,694144941.52,42.75,True,22.71,True,29.46,True,2026-07-02
EME,A,"EMCOR Group, Inc. Common Stock",,774.66,353731178.76,78.30,True,23.44,True,29.67,True,2026-07-02
ESE,A,ESCO Technologies Inc. Common Stock,,332.78,93367977.26,31.66,True,7.10,False,10.14,False,2026-07-02
