# parquet_sha256=4119ec0996d896c129f479a51c49f30a0e7cbec2d8a8a6c3a6d8f246b102ba06
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,313.39,18668098365.87,26.29,True,19.01,True,14.25,False,2026-07-08
ADI,A,"Analog Devices, Inc. - Common Stock",,385.40,2238688514.20,26.49,True,3.58,False,11.82,False,2026-07-08
AGX,A,"Argan, Inc. Common Stock",,665.46,260670990.50,150.10,True,99.10,True,62.05,True,2026-07-08
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,315.88,91436839.13,30.20,True,16.20,True,13.20,False,2026-07-08
ALAB,A,"Astera Labs, Inc. - Common Stock",,393.16,2396063555.31,101.40,True,37.70,True,49.85,True,2026-07-08
ALNY,A,"Alnylam Pharmaceuticals, Inc. - Common Stock",,323.50,355996454.24,23.87,True,21.83,True,11.11,False,2026-07-08
AMAT,A,"Applied Materials, Inc. - Common Stock",,570.50,6605820844.77,166.15,True,80.41,True,47.87,True,2026-07-08
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,517.41,16215639101.10,74.35,True,23.48,True,35.94,True,2026-07-08
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,356.27,119538398.24,24.99,True,19.36,True,12.01,False,2026-07-08
AMGN,A,Amgen Inc. - Common Stock,,367.99,1001940662.68,17.36,True,6.66,False,12.82,False,2026-07-08
AMP,A,"Ameriprise Financial, Inc. Common Stock",,490.58,350530228.43,55.31,True,10.90,False,18.34,True,2026-07-08
AON,A,Aon plc Class A Ordinary Shares (Ireland),,357.51,566771416.36,38.62,True,13.95,False,13.90,False,2026-07-08
APP,A,Applovin Corporation - Class A Common Stock,,522.18,2888984644.28,69.46,True,42.43,True,37.55,True,2026-07-08
ARM,A,Arm Holdings plc - American Depositary Shares,,300.24,4174331318.73,68.04,True,37.23,True,22.19,True,2026-07-08
AVGO,A,Broadcom Inc. - Common Stock,,388.69,13496515203.74,38.66,True,19.35,True,17.91,True,2026-07-08
AXON,A,"Axon Enterprise, Inc. - Common Stock",,599.80,608414685.09,104.45,True,5.84,False,40.66,True,2026-07-08
AXP,A,American Express Company Common Stock,,336.39,1052890606.06,26.03,True,11.61,False,13.19,False,2026-07-08
AYI,A,Acuity Inc. Common Stock,,329.76,155008032.81,47.90,True,37.77,True,14.98,False,2026-07-08
BAP,A,Credicorp Ltd. Common Stock,,381.47,197785953.19,22.79,True,5.53,False,5.85,False,2026-07-08
BH,A,Biglari Holdings Inc. Class B Common Stock,,403.73,22849267.36,44.12,True,16.92,True,12.20,False,2026-07-08
BLD,A,TopBuild Corp. Common Stock,,354.53,413333028.08,101.07,True,61.15,True,65.76,True,2026-06-30
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,425.47,6346097.22,42.52,True,28.48,True,19.33,True,2026-07-08
BURL,A,"Burlington Stores, Inc. Common Stock",,317.16,292417144.34,15.14,True,2.19,False,3.76,False,2026-07-08
CACC,A,Credit Acceptance Corporation - Common Stock,,628.96,111059542.62,50.28,True,26.76,True,17.62,True,2026-07-08
CACI,A,"CACI International, Inc. Class A Common Stock",,493.78,142432427.47,51.84,True,26.90,True,35.95,True,2026-07-08
CB,A,Chubb Limited  Common Stock,,355.09,590856374.94,22.87,True,3.36,False,9.44,False,2026-07-08
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,374.06,996306698.96,21.12,True,3.67,False,4.71,False,2026-07-08
CHE,A,Chemed Corp,,479.76,95029198.70,23.42,True,1.11,False,9.16,False,2026-07-08
CIEN,A,Ciena Corporation Common Stock,,440.97,1707172786.66,77.73,True,21.47,True,39.98,True,2026-07-08
CLH,A,"Clean Harbors, Inc. Common Stock",,300.96,139544461.91,15.37,True,10.22,False,3.37,False,2026-07-08
CLS,A,"Celestica, Inc. Common Stock",,360.74,806270676.92,34.28,True,0.88,False,25.41,True,2026-07-08
CMI,A,Cummins Inc. Common Stock,,669.21,757014582.85,57.79,True,13.11,False,20.62,True,2026-07-08
COHR,A,Coherent Corp. Common Stock,,317.05,2270131710.14,82.68,True,51.60,True,35.29,True,2026-07-08
COR,A,"Cencora, Inc. Common Stock",,309.57,459009627.21,29.49,True,21.15,True,8.09,False,2026-07-08
CPAY,A,"Corpay, Inc. Common Stock",,345.85,245743877.99,31.91,True,4.91,False,11.52,False,2026-07-08
CRS,A,Carpenter Technology Corporation Common Stock,,587.63,476578347.36,49.83,True,22.53,True,28.90,True,2026-07-08
CSL,A,Carlisle Companies Incorporated Common Stock,,331.00,160702803.16,40.15,True,29.85,True,22.87,True,2026-07-08
CVCO,A,"Cavco Industries, Inc. - Common Stock",,556.44,76533837.03,65.15,True,45.45,True,22.48,True,2026-07-08
CW,A,Curtiss-Wright Corporation Common Stock,,760.57,242850111.63,69.26,True,2.81,False,32.54,True,2026-07-08
DAVE,A,Dave Inc.  - Class A Common Stock,,375.51,219641527.01,43.50,True,7.62,False,12.04,False,2026-07-08
DDS,A,"Dillard's, Inc. Common Stock",,516.42,73136839.98,44.13,True,22.79,True,30.63,True,2026-07-08
DE,A,Deere & Company Common Stock,,596.74,859242038.54,48.22,True,30.89,True,31.63,True,2026-07-08
DELL,A,Dell Technologies Inc. Class C Common Stock ,,431.97,4505930825.10,63.44,True,6.72,False,30.93,True,2026-07-08
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,579.64,20066913.29,76.02,True,25.96,True,20.77,True,2026-07-08
DPZ,A,Domino's Pizza Inc - Common Stock,,302.35,274869142.19,22.88,True,1.83,False,10.79,False,2026-07-08
DY,A,"Dycom Industries, Inc. Common Stock",,426.70,347013262.01,93.21,True,43.81,True,32.75,True,2026-07-08
EG,A,"Everest Group, Ltd. Common Stock",,371.29,161095176.75,21.82,True,11.36,False,11.42,False,2026-07-08
ELV,A,"Elevance Health, Inc. Common Stock",,416.08,700889925.56,38.49,True,0.11,False,10.68,False,2026-07-08
EME,A,"EMCOR Group, Inc. Common Stock",,768.98,362905244.77,77.83,True,35.35,True,29.67,True,2026-07-08
ESE,A,ESCO Technologies Inc. Common Stock,,331.93,95152788.79,30.75,True,7.97,False,9.77,False,2026-07-08
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,780.05,92798940.43,63.21,True,20.07,True,43.28,True,2026-07-08
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,399.56,1020383950.07,35.35,True,12.75,False,17.74,True,2026-07-08
EVR,A,Evercore Inc. Class A Common Stock,,331.04,138492201.25,28.57,True,10.00,False,15.83,True,2026-07-08
FFIV,A,"F5, Inc. - Common Stock",,419.14,265492404.11,21.74,True,5.04,False,16.04,True,2026-07-08
FN,A,Fabrinet Ordinary Shares,,480.07,667933588.70,99.44,True,67.11,True,47.57,True,2026-07-08
