# parquet_sha256=d1747c469cdbff9e17229057e64d54819941e94454eb140fcb30ec813486ac0a
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,395.65,2160388308.47,28.26,True,6.82,False,9.80,False,2026-07-10
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,308.05,352544949.13,44.31,True,2.79,False,23.11,True,2026-07-10
AGX,A,"Argan, Inc. Common Stock",,630.32,258863947.40,134.42,True,94.91,True,62.05,True,2026-07-10
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,331.15,92495010.08,22.32,True,2.62,False,13.20,False,2026-07-10
ALAB,A,"Astera Labs, Inc. - Common Stock",,412.97,2336635088.48,87.14,True,19.77,True,49.85,True,2026-07-10
AMAT,A,"Applied Materials, Inc. - Common Stock",,602.50,6817234848.83,102.35,True,9.71,False,38.29,True,2026-07-10
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,557.89,15988908757.85,74.35,True,5.84,False,35.94,True,2026-07-10
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,366.41,117669462.82,25.50,True,9.80,False,8.69,False,2026-07-10
AMGN,A,Amgen Inc. - Common Stock,,363.39,1000206935.61,15.78,True,3.05,False,4.37,False,2026-07-10
AMP,A,"Ameriprise Financial, Inc. Common Stock",,506.76,352530471.96,25.83,True,0.74,False,17.26,True,2026-07-10
AON,A,Aon plc Class A Ordinary Shares (Ireland),,356.94,559368054.07,15.07,True,0.03,False,2.91,False,2026-07-10
APP,A,Applovin Corporation - Class A Common Stock,,506.98,2757206607.83,47.94,True,36.81,True,15.81,True,2026-07-10
ARM,A,Arm Holdings plc - American Depositary Shares,,323.39,4070644966.48,48.99,True,1.15,False,27.63,True,2026-07-10
AVGO,A,Broadcom Inc. - Common Stock,,399.97,13501573192.88,45.51,True,26.07,True,17.91,True,2026-07-10
AXON,A,"Axon Enterprise, Inc. - Common Stock",,565.80,612275169.10,109.46,True,56.55,True,40.66,True,2026-07-10
AXP,A,American Express Company Common Stock,,350.58,1069275062.37,26.03,True,5.45,False,13.19,False,2026-07-10
AYI,A,Acuity Inc. Common Stock,,333.11,157546748.69,36.68,True,21.12,True,14.98,False,2026-07-10
BAP,A,Credicorp Ltd. Common Stock,,400.81,197116243.04,25.60,True,8.49,False,10.45,False,2026-07-10
BH,A,Biglari Holdings Inc. Class B Common Stock,,373.05,21789777.20,70.34,True,51.18,True,21.65,True,2026-07-10
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,444.60,6195445.42,36.32,True,8.88,False,21.56,True,2026-07-10
