# parquet_sha256=b14ce32a86765feb7fb0495a2b6fb505162b5c156b18ffa83c86a13c8bf4b47b
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,317.31,18459996975.67,16.40,True,6.65,False,2.83,False,2026-07-13
ADI,A,"Analog Devices, Inc. - Common Stock",,386.01,2134565790.91,28.26,True,6.98,False,9.64,False,2026-07-13
AGX,A,"Argan, Inc. Common Stock",,599.74,258782701.53,117.46,True,63.44,True,57.17,True,2026-07-13
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,329.35,94119222.74,25.14,True,14.02,False,8.66,False,2026-07-13
ALAB,A,"Astera Labs, Inc. - Common Stock",,362.05,2347414599.80,86.38,True,20.84,True,50.92,True,2026-07-13
AMAT,A,"Applied Materials, Inc. - Common Stock",,575.39,6877192074.36,102.35,True,20.89,True,27.11,True,2026-07-13
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,534.39,15854909396.50,62.10,True,18.28,True,29.32,True,2026-07-13
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,359.78,117482243.14,16.26,True,0.06,False,8.69,False,2026-07-13
AMGN,A,Amgen Inc. - Common Stock,,360.45,1000793970.17,19.52,True,7.65,False,4.37,False,2026-07-13
AMP,A,"Ameriprise Financial, Inc. Common Stock",,518.23,355504182.02,30.53,True,10.39,False,17.26,True,2026-07-13
APD,A,"Air Products and Chemicals, Inc. Common Stock",,301.96,434535087.29,18.66,True,3.09,False,8.30,False,2026-07-13
APP,A,Applovin Corporation - Class A Common Stock,,442.85,2793101665.39,114.73,True,85.13,True,64.13,True,2026-07-13
AVGO,A,Broadcom Inc. - Common Stock,,384.05,13520290685.74,45.51,True,13.27,False,17.91,True,2026-07-13
AXON,A,"Axon Enterprise, Inc. - Common Stock",,547.03,605248689.79,120.75,True,93.43,True,40.66,True,2026-07-13
AXP,A,American Express Company Common Stock,,354.43,1062469118.17,26.03,True,4.85,False,13.19,False,2026-07-13
AYI,A,Acuity Inc. Common Stock,,325.36,158266399.84,31.00,True,13.89,False,9.49,False,2026-07-13
BAP,A,Credicorp Ltd. Common Stock,,389.22,192043670.82,26.71,True,2.75,False,11.59,False,2026-07-13
BH,A,Biglari Holdings Inc. Class B Common Stock,,390.14,21628864.07,64.98,True,21.89,True,21.65,True,2026-07-13
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,435.18,6406746.97,29.20,True,1.03,False,21.56,True,2026-07-13
BURL,A,"Burlington Stores, Inc. Common Stock",,327.59,255145719.43,27.86,True,11.47,False,6.28,False,2026-07-13
CACC,A,Credit Acceptance Corporation - Common Stock,,626.13,114438821.29,50.08,True,20.45,True,17.62,True,2026-07-13
CACI,A,"CACI International, Inc. Class A Common Stock",,477.97,141050875.52,40.54,True,19.39,True,10.49,False,2026-07-13
CB,A,Chubb Limited  Common Stock,,354.74,601437018.66,22.21,True,4.56,False,7.29,False,2026-07-13
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,377.92,967209461.00,25.37,True,6.86,False,11.89,False,2026-07-13
CHE,A,Chemed Corp,,492.27,93953149.43,23.72,True,6.90,False,10.70,False,2026-07-13
CI,A,The Cigna Group Common Stock,,304.50,455008967.67,21.02,True,17.88,True,11.04,False,2026-07-13
CIEN,A,Ciena Corporation Common Stock,,445.44,1679525072.34,81.26,True,26.53,True,22.06,True,2026-07-13
CLH,A,"Clean Harbors, Inc. Common Stock",,303.64,136826265.13,15.41,True,5.71,False,3.03,False,2026-07-13
CLS,A,"Celestica, Inc. Common Stock",,345.18,772609662.95,47.82,True,0.12,False,15.68,True,2026-07-13
CMI,A,Cummins Inc. Common Stock,,664.39,750388087.66,48.14,True,4.25,False,11.56,False,2026-07-13
COHR,A,Coherent Corp. Common Stock,,307.39,2242893632.31,36.66,True,6.74,False,17.11,True,2026-07-13
CPAY,A,"Corpay, Inc. Common Stock",,362.06,240034188.97,23.60,True,4.96,False,11.25,False,2026-07-13
CRS,A,Carpenter Technology Corporation Common Stock,,566.85,474070020.23,51.29,True,23.50,True,12.33,False,2026-07-13
CSL,A,Carlisle Companies Incorporated Common Stock,,333.20,178477449.48,43.98,True,20.67,True,22.87,True,2026-07-13
CVCO,A,"Cavco Industries, Inc. - Common Stock",,555.08,69283035.52,41.09,True,23.84,True,22.48,True,2026-07-13
CW,A,Curtiss-Wright Corporation Common Stock,,740.06,236505580.51,75.36,True,26.48,True,14.70,False,2026-07-13
DAVE,A,Dave Inc.  - Class A Common Stock,,389.56,215707643.21,43.50,True,5.60,False,14.63,False,2026-07-13
DDS,A,"Dillard's, Inc. Common Stock",,525.51,69696686.38,36.01,True,4.06,False,13.39,False,2026-07-13
DE,A,Deere & Company Common Stock,,585.64,828267170.29,52.93,True,17.97,True,6.87,False,2026-07-13
DELL,A,Dell Technologies Inc. Class C Common Stock ,,427.11,4295770692.10,64.68,True,9.83,False,18.25,True,2026-07-13
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,581.51,20089256.36,58.93,True,16.99,True,15.12,True,2026-07-13
DPZ,A,Domino's Pizza Inc - Common Stock,,309.85,277386148.91,25.03,True,3.29,False,10.79,False,2026-07-13
DY,A,"Dycom Industries, Inc. Common Stock",,410.11,303341844.76,36.68,True,3.04,False,15.61,True,2026-07-13
ELV,A,"Elevance Health, Inc. Common Stock",,425.17,689402547.85,15.35,True,6.32,False,8.94,False,2026-07-13
EME,A,"EMCOR Group, Inc. Common Stock",,764.90,362725331.06,48.37,True,3.48,False,16.88,True,2026-07-13
ESE,A,ESCO Technologies Inc. Common Stock,,320.82,94646567.96,19.79,True,12.47,False,8.30,False,2026-07-13
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,735.40,77404449.87,74.12,True,42.53,True,19.16,True,2026-07-13
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,402.85,977089226.96,26.76,True,7.17,False,6.27,False,2026-07-13
EVR,A,Evercore Inc. Class A Common Stock,,334.15,137960721.41,26.66,True,12.72,False,15.83,True,2026-07-13
FDX,A,FedEx Corporation Common Stock,,313.74,740463821.55,16.50,True,0.86,False,3.85,False,2026-07-13
FFIV,A,"F5, Inc. - Common Stock",,420.95,251896848.11,23.75,True,3.84,False,11.18,False,2026-07-13
FN,A,Fabrinet Ordinary Shares,,474.64,653436478.45,50.39,True,6.16,False,11.65,False,2026-07-13
GE,A,GE Aerospace Common Stock,,353.42,1706334832.46,25.87,True,13.56,False,10.95,False,2026-07-13
GOOG,A,Alphabet Inc. - Class C Capital Stock,,350.67,8958696301.94,22.23,True,12.95,False,4.91,False,2026-07-13
GOOGL,A,Alphabet Inc. - Class A Common Stock,,352.51,12868114564.30,22.08,True,14.52,False,5.11,False,2026-07-13
HCA,A,"HCA Healthcare, Inc. Common Stock",,390.74,657885335.24,39.58,True,32.37,True,15.85,True,2026-07-13
HD,A,"Home Depot, Inc. (The) Common Stock",,337.11,1628690584.45,24.75,True,8.10,False,9.00,False,2026-07-13
HEI,A,Heico Corporation Common Stock,,344.11,183129739.22,23.65,True,13.91,False,10.24,False,2026-07-13
HLT,A,Hilton Worldwide Holdings Inc. Common Stock ,,322.45,752600886.04,23.87,True,18.67,True,13.03,False,2026-07-13
HUBB,A,Hubbell Inc Common Stock,,477.03,309881057.15,23.29,True,1.86,False,13.91,False,2026-07-13
HUM,A,Humana Inc. Common Stock,,406.00,546841269.26,18.91,True,11.38,False,13.78,False,2026-07-13
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,564.21,389294061.91,29.77,True,6.04,False,14.58,False,2026-07-13
IESC,A,"IES Holdings, Inc. - Common Stock",,602.91,209989409.10,64.71,True,6.56,False,23.48,True,2026-07-13
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,407.12,1054061539.96,40.59,True,20.18,True,12.20,False,2026-07-13
JBL,A,Jabil Inc. Common Stock,,321.96,559253524.70,32.10,True,0.88,False,8.33,False,2026-07-13
JLL,A,Jones Lang LaSalle Incorporated Common Stock,,321.95,119878452.05,18.74,True,10.62,False,8.54,False,2026-07-13
KEYS,A,Keysight Technologies Inc. Common Stock,,320.83,556719083.10,26.93,True,11.71,False,8.12,False,2026-07-13
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,344.96,105118322.58,19.93,True,3.77,False,7.38,False,2026-07-13
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,363.44,121484679.47,28.64,True,5.16,False,6.80,False,2026-07-13
LAD,A,"Lithia Motors, Inc. Common Stock",,317.96,86721350.38,25.53,True,6.27,False,9.07,False,2026-07-13
LFUS,A,"Littelfuse, Inc. - Common Stock",,407.22,151045865.23,28.45,True,2.86,False,9.00,False,2026-07-13
LGND,A,Ligand Pharmaceuticals Incorporated - Common Stock,,309.25,129430633.13,21.86,True,10.18,False,7.73,False,2026-07-13
LII,A,"Lennox International, Inc. Common Stock",,551.18,220185200.41,36.86,True,5.75,False,19.17,True,2026-07-13
LIN,A,Linde plc - Ordinary Shares,,524.06,1318734376.36,29.19,True,14.17,False,10.56,False,2026-07-13
LITE,A,Lumentum Holdings Inc. - Common Stock,,768.15,4789478128.75,128.80,True,69.24,True,78.67,True,2026-07-13
LMT,A,Lockheed Martin Corporation Common Stock,,520.68,669113055.84,33.66,True,14.70,False,9.70,False,2026-07-13
LPLA,A,LPL Financial Holdings Inc. - Common Stock,,321.06,310112685.07,24.85,True,13.48,False,10.65,False,2026-07-13
LRCX,A,Lam Research Corporation - Common Stock,,329.92,4776428185.70,56.85,True,3.79,False,20.41,True,2026-07-13
MA,A,Mastercard Incorporated Common Stock,,537.70,2051805964.69,28.53,True,6.08,False,11.76,False,2026-07-13
MAR,A,Marriott International - Class A Common Stock,,362.87,613984191.46,22.26,True,17.88,True,13.24,False,2026-07-13
MCO,A,Moody's Corporation Common Stock,,495.72,472865389.97,26.64,True,4.77,False,15.39,True,2026-07-13
MDB,A,"MongoDB, Inc. - Class A Common Stock",,337.97,738119822.82,39.93,True,23.35,True,20.79,True,2026-07-13
MDGL,A,"Madrigal Pharmaceuticals, Inc. - Common Stock",,531.00,197339857.79,43.30,True,14.36,False,23.31,True,2026-07-13
MEDP,A,"Medpace Holdings, Inc. - Common Stock",,530.19,151861012.43,37.96,True,16.10,True,14.30,False,2026-07-13
META,A,"Meta Platforms, Inc. - Class A Common Stock",,656.73,12380130006.71,100.79,True,41.15,True,37.73,True,2026-07-13
MKSI,A,MKS Inc. - Common Stock,,352.03,513868918.48,51.49,True,2.46,False,19.39,True,2026-07-13
MLM,A,"Martin Marietta Materials, Inc. Common Stock",,569.35,374406862.66,41.01,True,24.82,True,24.17,True,2026-07-13
MSCI,A,MSCI Inc. Common Stock,,620.23,407986444.52,27.73,True,12.14,False,15.52,True,2026-07-13
MSFT,A,Microsoft Corporation - Common Stock,,390.99,17828708140.11,22.22,True,2.15,False,5.89,False,2026-07-13
MSGS,A,Madison Square Garden Sports Corp. Class A Common Stock (New),,386.11,110007001.09,18.51,True,4.62,False,6.39,False,2026-07-13
MSI,A,"Motorola Solutions, Inc. Common Stock",,418.06,452580049.41,19.84,True,6.15,False,5.67,False,2026-07-13
MTZ,A,"MasTec, Inc. Common Stock",,360.21,490559729.60,56.87,True,1.36,False,24.05,True,2026-07-13
MUSA,A,Murphy USA Inc. Common Stock,,610.80,188099152.12,53.66,True,35.16,True,31.17,True,2026-07-13
MYRG,A,"MYR Group, Inc. - Common Stock",,411.89,138405897.86,30.70,True,7.19,False,11.57,False,2026-07-13
NEU,A,NewMarket Corp Common Stock,,757.23,85233902.66,50.64,True,38.45,True,16.53,True,2026-07-13
NOC,A,Northrop Grumman Corporation Common Stock,,541.82,577099570.74,24.61,True,7.22,False,12.88,False,2026-07-13
NPO,A,Enpro Inc. Common Stock,,326.02,107162270.15,25.67,True,2.57,False,10.69,False,2026-07-13
NVMI,A,Nova Ltd. - Ordinary Shares,,452.73,273932344.55,55.13,True,6.30,False,23.17,True,2026-07-13
ONTO,A,Onto Innovation Inc. Common Stock,,304.21,442157262.30,65.00,True,24.28,True,25.57,True,2026-07-13
PANW,A,"Palo Alto Networks, Inc. - Common Stock",,330.30,2646192421.11,48.06,True,6.74,False,17.72,True,2026-07-13
PLPC,A,Preformed Line Products Company - Common Stock,,340.03,37726363.01,53.46,True,13.73,False,10.22,False,2026-07-13
PRAX,A,"Praxis Precision Medicines, Inc. - Common Stock",,314.56,187540789.30,36.11,True,9.39,False,10.43,False,2026-07-13
PWR,A,"Quanta Services, Inc. Common Stock",,646.70,954494078.11,48.09,True,10.09,False,11.86,False,2026-07-13
RACE,A,Ferrari N.V. Common Shares,,372.98,196200905.32,26.91,True,14.01,False,11.96,False,2026-07-13
RBC,A,RBC Bearings Incorporated Common Stock,,584.59,165318979.05,31.18,True,15.67,True,10.90,False,2026-07-13
REGN,A,"Regeneron Pharmaceuticals, Inc. - Common Stock",,663.09,657495455.08,22.81,True,13.14,False,13.35,False,2026-07-13
RL,A,Ralph Lauren Corporation Common Stock,,374.49,279002556.75,27.49,True,20.82,True,20.41,True,2026-07-13
RNR,A,RenaissanceRe Holdings Ltd. Common Stock,,320.66,110899224.58,20.57,True,3.03,False,11.20,False,2026-07-13
ROK,A,"Rockwell Automation, Inc. Common Stock",,460.45,392750620.27,21.38,True,8.45,False,11.67,False,2026-07-13
ROP,A,"Roper Technologies, Inc. - Common Stock",,360.59,407453468.91,28.99,True,3.17,False,8.87,False,2026-07-13
SAIA,A,"Saia, Inc. - Common Stock",,432.06,184984066.22,33.54,True,16.06,True,11.24,False,2026-07-13
SHW,A,Sherwin-Williams Company (The) Common Stock,,328.97,848867630.57,26.15,True,13.29,False,11.69,False,2026-07-13
SITM,A,SiTime Corporation - Common Stock,,602.55,424648904.49,108.63,True,10.36,False,36.02,True,2026-07-13
SNA,A,Snap-On Incorporated Common Stock,,401.11,135031935.99,16.13,True,7.63,False,7.63,False,2026-07-13
SNPS,A,"Synopsys, Inc. - Common Stock",,433.82,935008698.56,28.11,True,2.81,False,11.68,False,2026-07-13
SPGI,A,S&P Global Inc. Common Stock,,437.84,1033103540.77,27.61,True,5.62,False,12.67,False,2026-07-13
SPOT,A,Spotify Technology S.A. Ordinary Shares,,479.84,874490808.20,33.73,True,14.11,False,8.73,False,2026-07-13
STRL,A,"Sterling Infrastructure, Inc. - Common Stock",,660.04,687527813.03,69.77,True,14.35,False,46.45,True,2026-07-13
SXI,A,Standex International Corporation Common Stock,,307.54,70380810.50,19.49,True,3.00,False,9.29,False,2026-07-13
TDY,A,Teledyne Technologies Incorporated Common Stock,,623.88,214168180.00,35.21,True,17.82,True,10.72,False,2026-07-13
TER,A,"Teradyne, Inc. - Common Stock",,341.11,2027170836.10,56.72,True,2.00,False,18.49,True,2026-07-13
TLN,A,Talen Energy Corporation - Common Stock,,396.35,351377743.25,39.53,True,29.69,True,16.56,True,2026-07-13
TMO,A,Thermo Fisher Scientific Inc Common Stock,,528.51,1081350704.68,27.75,True,11.89,False,14.58,False,2026-07-13
TPL,A,Texas Pacific Land Corporation Common Stock,,408.92,180278708.57,31.85,True,6.16,False,11.10,False,2026-07-13
TRV,A,"The Travelers Companies, Inc. Common Stock",,341.51,617456313.64,15.82,True,2.22,False,5.79,False,2026-07-13
TSLA,A,"Tesla, Inc.  - Common Stock",,394.76,18722894823.57,29.05,True,8.14,False,13.00,False,2026-07-13
TSM,A,Taiwan Semiconductor Manufacturing Company Ltd.,,421.58,6230298662.96,27.40,True,10.99,False,12.53,False,2026-07-13
TT,A,Trane Technologies plc,,479.90,647612321.49,19.86,True,4.16,False,7.70,False,2026-07-13
TYL,A,"Tyler Technologies, Inc. Common Stock",,314.22,266337701.93,31.13,True,7.23,False,7.16,False,2026-07-13
UI,A,Ubiquiti Inc. Common Stock,,540.67,66936886.92,35.70,True,14.85,False,16.84,True,2026-07-13
ULTA,A,"Ulta Beauty, Inc. - Common Stock",,473.33,412821028.42,37.98,True,19.55,True,8.96,False,2026-07-13
UTHR,A,United Therapeutics Corporation - Common Stock,,535.57,290037724.72,33.61,True,28.13,True,11.49,False,2026-07-13
V,A,Visa Inc.,,357.75,3071242821.14,15.07,True,5.55,False,8.78,False,2026-07-13
VMI,A,"Valmont Industries, Inc. Common Stock",,539.79,136330134.10,29.72,True,0.28,False,7.04,False,2026-07-13
VRT,A,"Vertiv Holdings, LLC Class A Common Stock",,305.87,2072060113.07,51.77,True,0.29,False,12.99,False,2026-07-13
VRTX,A,Vertex Pharmaceuticals Incorporated - Common Stock,,480.25,859627188.27,58.96,True,42.00,True,23.82,True,2026-07-13
WAT,A,Waters Corporation Common Stock,,373.22,364478730.01,16.46,True,1.71,False,9.00,False,2026-07-13
WCC,A,"WESCO International, Inc. Common Stock",,330.84,215512946.00,36.98,True,23.63,True,12.76,False,2026-07-13
WDC,A,Western Digital Corporation - Common Stock,,555.55,5736333372.84,91.13,True,23.45,True,27.75,True,2026-07-13
WINA,A,Winmark Corporation - Common Stock,,386.74,17827517.88,52.38,True,24.82,True,16.00,True,2026-07-13
WSO,A,"Watsco, Inc. Common Stock",,393.71,138764252.14,27.47,True,4.27,False,9.85,False,2026-07-13
WTS,A,"Watts Water Technologies, Inc. Class A Common Stock",,346.82,169205247.84,23.06,True,10.47,False,9.24,False,2026-07-13
WWD,A,"Woodward, Inc. - Common Stock",,396.93,354142545.12,25.81,True,7.91,False,9.47,False,2026-07-13
AADX,B,"Applied Aerospace & Defense, Inc. Common Stock",,18.72,44622377.87,0.29,True,0.20,True,0.10,False,2026-07-13
AARD,B,"Aardvark Therapeutics, Inc. - Common Stock",,5.96,2158176.59,0.70,True,0.10,False,0.52,True,2026-07-13
ABCL,B,AbCellera Biologics Inc. - Common Shares,,6.52,50346884.86,0.32,True,0.15,False,0.08,False,2026-07-13
ABTC,B,American Bitcoin Corp. - Class A Common Stock,,5.29,13519022.61,0.60,True,0.19,False,0.14,False,2026-07-13
ACH,B,"Accendra Health, Inc. Common Stock",,3.37,2240782.81,0.20,True,0.05,False,0.04,False,2026-07-13
AEVA,B,"Aeva Technologies, Inc. - Common Stock",,18.81,55340248.80,0.25,True,0.13,False,0.10,False,2026-07-13
AGEN,B,Agenus Inc. - Common Stock,,6.12,38062587.32,1.81,True,0.75,True,0.83,True,2026-07-13
AGPU,B,Axe Compute Inc. - Common Stock,,7.01,2007430.41,0.25,True,0.05,False,0.08,False,2026-07-13
AHMA,B,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,,1.79,12041046.54,0.39,True,0.21,True,0.14,False,2026-07-13
AIAI,B,AIAI Holdings Corporation - Class A common stock,,10.09,5759764.82,0.38,True,0.20,True,0.11,False,2026-07-13
AIB,B,AIB Data Centers Inc. Common Stock,,1.90,3028851.40,0.24,True,0.07,False,0.13,False,2026-07-13
AIBZ,B,Bitzero Holdings Inc. - Common Shares,,7.80,5424419.75,0.32,True,0.19,False,0.08,False,2026-07-13
AIIO,B,Robo.ai Inc. - Class B Ordinary Shares,,4.00,13991848.49,0.39,True,0.02,False,0.20,True,2026-07-13
AIRJ,B,AirJoule Technologies Corporation - Class A Common Stock,,3.96,8842355.20,0.26,True,0.12,False,0.08,False,2026-07-13
AIRO,B,"AIRO Group Holdings, Inc. - Common Stock",,6.05,4353338.56,0.27,True,0.12,False,0.05,False,2026-07-13
AIXI,B,XIAO-I Corporation - American Depositary Shares,,1.69,4451405.22,0.26,True,0.11,False,0.08,False,2026-07-13
AKTX,B,Akari Therapeutics Plc - American Depositary Shares,,13.40,1484675.42,0.44,True,0.13,False,0.08,False,2026-07-13
ALAR,B,Alarum Technologies Ltd. - American Depositary Shares,,2.12,1490361.93,0.44,True,0.21,True,0.11,False,2026-07-13
ALDX,B,"Aldeyra Therapeutics, Inc. - Common Stock",,1.93,3449111.17,0.24,True,0.13,False,0.10,False,2026-07-13
ALEC,B,"Alector, Inc. - Common Stock",,1.51,1572325.83,0.34,True,0.22,True,0.11,False,2026-07-13
ALGS,B,"Aligos Therapeutics, Inc. - Common stock",,6.36,1351099.48,0.29,True,0.04,False,0.11,False,2026-07-13
ALMU,B,"Aeluma, Inc. - Common Stock",,16.22,20101785.19,0.20,True,0.07,False,0.08,False,2026-07-13
ALOY,B,REalloys Inc. - Common Stock,,11.07,45292863.14,0.27,True,0.09,False,0.10,False,2026-07-13
ALTG,B,Alta Equipment Group Inc. Class A Common Stock,,6.88,1630708.55,0.20,True,0.13,False,0.05,False,2026-07-13
