# parquet_sha256=07f8386d86e138f258ae5c40342b30c4bb6f4cf3473cfa821d36919efb41d408
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,338.19,18522430121.82,25.22,True,16.53,True,11.36,False,2026-07-29
ADI,A,"Analog Devices, Inc. - Common Stock",,353.37,1937416197.54,30.23,True,26.83,True,12.46,False,2026-07-29
AGX,A,"Argan, Inc. Common Stock",,492.35,233385286.69,136.64,True,109.95,True,33.38,True,2026-07-29
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,334.36,103710274.88,20.84,True,9.72,False,13.68,False,2026-07-29
AMAT,A,"Applied Materials, Inc. - Common Stock",,436.45,6514281261.98,140.16,True,126.35,True,40.43,True,2026-07-29
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,429.56,15225733800.32,132.46,True,110.13,True,40.33,True,2026-07-29
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,360.07,103871234.50,36.56,True,12.30,False,10.52,False,2026-07-29
AMGN,A,Amgen Inc. - Common Stock,,387.64,960159832.19,38.79,True,16.14,True,16.84,True,2026-07-29
AMP,A,"Ameriprise Financial, Inc. Common Stock",,540.29,369509195.77,42.72,True,20.18,True,9.11,False,2026-07-29
AON,A,Aon plc Class A Ordinary Shares (Ireland),,377.16,550673540.12,31.51,True,21.38,True,14.09,False,2026-07-29
APP,A,Applovin Corporation - Class A Common Stock,,399.46,2662409744.16,33.97,True,0.60,False,20.75,True,2026-07-29
AVGO,A,Broadcom Inc. - Common Stock,,370.32,9381735880.41,28.10,True,22.15,True,10.59,False,2026-07-29
AXON,A,"Axon Enterprise, Inc. - Common Stock",,531.20,538329151.04,78.50,True,39.30,True,23.14,True,2026-07-29
AXP,A,American Express Company Common Stock,,331.50,1155262647.29,26.71,True,9.34,False,14.67,False,2026-07-29
AYI,A,Acuity Inc. Common Stock,,333.75,147513105.97,20.41,True,6.78,False,10.43,False,2026-07-29
BAP,A,Credicorp Ltd. Common Stock,,383.93,127787719.45,15.16,True,3.70,False,5.02,False,2026-07-29
BH,A,Biglari Holdings Inc. Class B Common Stock,,382.51,41594639.27,45.30,True,0.81,False,7.93,False,2026-07-29
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,327.25,98708213.96,29.50,True,10.87,False,14.59,False,2026-07-29
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,456.07,3232339.99,28.33,True,1.56,False,18.74,True,2026-07-29
BURL,A,"Burlington Stores, Inc. Common Stock",,371.13,222266602.59,41.21,True,31.65,True,12.00,False,2026-07-29
CACC,A,Credit Acceptance Corporation - Common Stock,,556.71,109621241.63,70.77,True,35.86,True,21.35,True,2026-07-29
CACI,A,"CACI International, Inc. Class A Common Stock",,487.79,139083092.62,42.22,True,7.18,False,22.27,True,2026-07-29
CAT,A,"Caterpillar, Inc. Common Stock",,782.71,3466618498.72,133.60,True,111.83,True,58.14,True,2026-07-29
CB,A,Chubb Limited  Common Stock,,361.90,686621442.45,24.13,True,8.65,False,6.50,False,2026-07-29
CBOE,A,"Cboe Global Markets, Inc. Common Stock",,307.81,405896735.87,31.79,True,22.95,True,10.42,False,2026-07-29
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,332.76,918396977.49,29.63,True,2.30,False,12.37,False,2026-07-29
CHE,A,Chemed Corp,,539.36,91963966.32,55.93,True,36.35,True,21.73,True,2026-07-29
CIEN,A,Ciena Corporation Common Stock,,330.37,1161012496.78,92.51,True,77.16,True,26.76,True,2026-07-29
CLH,A,"Clean Harbors, Inc. Common Stock",,326.34,146376757.53,36.10,True,19.87,True,22.67,True,2026-07-29
CLS,A,"Celestica, Inc. Common Stock",,328.43,760439996.88,62.24,True,6.32,False,31.96,True,2026-07-29
CMI,A,Cummins Inc. Common Stock,,606.00,733195649.32,73.99,True,59.03,True,35.60,True,2026-07-29
COR,A,"Cencora, Inc. Common Stock",,318.61,454935652.60,24.53,True,13.55,False,8.43,False,2026-07-29
CPAY,A,"Corpay, Inc. Common Stock",,392.85,241603634.76,45.98,True,28.05,True,9.13,False,2026-07-29
CRS,A,Carpenter Technology Corporation Common Stock,,530.62,485194170.73,91.89,True,70.92,True,29.81,True,2026-07-29
