# parquet_sha256=8957ea3172b716f24d9f1700e5482a4fc8f6bdbc3042c28ec3da59a9cc15a0f8
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,308.91,19898806745.12,44.57,True,28.00,True,24.52,True,2026-07-31
ADI,A,"Analog Devices, Inc. - Common Stock",,367.41,1948186356.47,24.07,True,4.48,False,13.30,False,2026-07-31
AGX,A,"Argan, Inc. Common Stock",,570.43,235290635.90,121.56,True,27.91,True,87.52,True,2026-07-31
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,345.21,99064950.84,21.34,True,4.10,False,13.68,False,2026-07-31
ALAB,A,"Astera Labs, Inc. - Common Stock",,311.23,2042027136.77,97.39,True,28.71,True,49.95,True,2026-07-31
AMAT,A,"Applied Materials, Inc. - Common Stock",,507.67,6418316232.53,112.22,True,9.22,False,65.32,True,2026-07-31
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,476.15,15302669205.43,103.97,True,18.80,True,55.83,True,2026-07-31
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,366.73,105571797.10,20.41,True,2.93,False,10.05,False,2026-07-31
AMGN,A,Amgen Inc. - Common Stock,,385.16,943788014.10,23.61,True,8.90,False,16.84,True,2026-07-31
AMP,A,"Ameriprise Financial, Inc. Common Stock",,545.84,368433719.46,22.55,True,7.83,False,8.61,False,2026-07-31
AON,A,Aon plc Class A Ordinary Shares (Ireland),,360.55,579729567.43,23.85,True,6.62,False,14.09,False,2026-07-31
APP,A,Applovin Corporation - Class A Common Stock,,395.90,2764863032.80,43.24,True,16.83,True,18.76,True,2026-07-31
AVGO,A,Broadcom Inc. - Common Stock,,389.28,9031536149.65,30.41,True,6.06,False,17.52,True,2026-07-31
AXON,A,"Axon Enterprise, Inc. - Common Stock",,527.76,533698367.42,61.52,True,2.28,False,22.17,True,2026-07-31
AYI,A,Acuity Inc. Common Stock,,328.39,150420496.45,19.30,True,7.58,False,10.43,False,2026-07-31
BAP,A,Credicorp Ltd. Common Stock,,400.58,124869521.97,32.82,True,9.59,False,18.34,True,2026-07-31
BH,A,Biglari Holdings Inc. Class B Common Stock,,397.49,44661055.54,41.29,True,24.03,True,16.51,True,2026-07-31
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,325.48,98353991.98,25.68,True,9.07,False,14.59,False,2026-07-31
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,466.90,3467952.57,29.75,True,21.66,True,18.92,True,2026-07-31
BURL,A,"Burlington Stores, Inc. Common Stock",,368.48,222464212.76,27.75,True,10.47,False,12.00,False,2026-07-31
CACC,A,Credit Acceptance Corporation - Common Stock,,568.91,107600013.23,36.14,True,16.18,True,13.24,False,2026-07-31
CACI,A,"CACI International, Inc. Class A Common Stock",,497.75,136859997.72,40.47,True,1.86,False,22.27,True,2026-07-31
CB,A,Chubb Limited  Common Stock,,350.68,694272135.11,18.91,True,8.23,False,11.75,False,2026-07-31
CBOE,A,"Cboe Global Markets, Inc. Common Stock",,310.23,379555103.39,34.01,True,21.36,True,13.71,False,2026-07-31
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,340.02,919422310.21,26.00,True,1.41,False,11.96,False,2026-07-31
CHE,A,Chemed Corp,,532.25,91690812.29,45.82,True,22.91,True,21.73,True,2026-07-31
CIEN,A,Ciena Corporation Common Stock,,377.05,1113688449.75,77.71,True,0.22,False,41.70,True,2026-07-31
CLH,A,"Clean Harbors, Inc. Common Stock",,312.88,148585713.33,36.10,True,11.13,False,22.67,True,2026-07-31
CLS,A,"Celestica, Inc. Common Stock",,331.44,809598604.90,85.24,True,13.20,False,31.96,True,2026-07-31
CMI,A,Cummins Inc. Common Stock,,634.20,699533707.06,73.99,True,27.64,True,35.60,True,2026-07-31
CPAY,A,"Corpay, Inc. Common Stock",,382.11,243759173.18,20.75,True,2.40,False,8.53,False,2026-07-31
CRS,A,Carpenter Technology Corporation Common Stock,,519.66,496107204.95,138.80,True,60.59,True,29.81,True,2026-07-31
CSL,A,Carlisle Companies Incorporated Common Stock,,359.92,205720223.17,54.79,True,19.26,True,35.34,True,2026-07-31
CSW,A,"CSW Industrials, Inc. Common Stock",,318.93,46186484.76,59.32,True,25.50,True,40.79,True,2026-07-31
CVCO,A,"Cavco Industries, Inc. - Common Stock",,547.03,68880092.47,59.22,True,32.02,True,23.84,True,2026-07-31
CW,A,Curtiss-Wright Corporation Common Stock,,724.00,205973145.26,94.06,True,19.83,True,49.39,True,2026-07-31
DAVE,A,Dave Inc.  - Class A Common Stock,,372.69,203198791.60,53.23,True,32.96,True,27.46,True,2026-07-31
DDS,A,"Dillard's, Inc. Common Stock",,588.34,69342214.78,43.88,True,14.39,False,15.00,True,2026-07-31
DE,A,Deere & Company Common Stock,,592.67,731679368.36,53.93,True,32.35,True,28.89,True,2026-07-31
DELL,A,Dell Technologies Inc. Class C Common Stock ,,405.37,3057065803.87,89.00,True,21.54,True,35.17,True,2026-07-31
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,587.10,22723609.80,53.17,True,5.94,False,10.49,False,2026-07-31
DPZ,A,Domino's Pizza Inc - Common Stock,,347.44,343703091.30,29.01,True,3.91,False,9.53,False,2026-07-31
DY,A,"Dycom Industries, Inc. Common Stock",,401.07,283808067.89,69.67,True,23.14,True,45.23,True,2026-07-31
EG,A,"Everest Group, Ltd. Common Stock",,374.15,156971255.64,32.74,True,15.19,True,18.53,True,2026-07-31
ELV,A,"Elevance Health, Inc. Common Stock",,375.84,657002973.37,25.75,True,2.52,False,9.75,False,2026-07-31
EME,A,"EMCOR Group, Inc. Common Stock",,797.43,410225072.39,171.17,True,54.68,True,129.89,True,2026-07-31
ESE,A,ESCO Technologies Inc. Common Stock,,315.29,87262790.32,35.92,True,8.91,False,15.62,True,2026-07-31
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,415.20,1012501930.50,61.88,True,16.56,True,28.31,True,2026-07-31
EVR,A,Evercore Inc. Class A Common Stock,,320.56,162865028.34,53.90,True,19.55,True,35.79,True,2026-07-31
FFIV,A,"F5, Inc. - Common Stock",,402.57,279754552.46,47.07,True,5.39,False,16.51,True,2026-07-31
FN,A,Fabrinet Ordinary Shares,,435.41,521770415.76,80.46,True,35.41,True,35.22,True,2026-07-31
GD,A,General Dynamics Corporation Common Stock,,383.42,498117940.82,25.96,True,5.72,False,12.23,False,2026-07-31
GE,A,GE Aerospace Common Stock,,360.07,1652174473.42,19.11,True,1.54,False,12.96,False,2026-07-31
GOOG,A,Alphabet Inc. - Class C Capital Stock,,356.65,8093593287.95,34.47,True,30.08,True,22.97,True,2026-07-31
GOOGL,A,Alphabet Inc. - Class A Common Stock,,356.13,12233520456.69,34.14,True,29.57,True,22.47,True,2026-07-31
HCA,A,"HCA Healthcare, Inc. Common Stock",,402.59,671991857.96,37.68,True,12.97,False,28.57,True,2026-07-31
HD,A,"Home Depot, Inc. (The) Common Stock",,331.96,1550457581.08,20.63,True,4.13,False,8.38,False,2026-07-31
HEI,A,Heico Corporation Common Stock,,356.36,159409975.92,16.39,True,0.79,False,8.21,False,2026-07-31
HII,A,"Huntington Ingalls Industries, Inc. Common Stock",,326.45,160338025.51,50.11,True,38.20,True,39.50,True,2026-07-31
HLT,A,Hilton Worldwide Holdings Inc. Common Stock ,,320.49,839209147.46,22.11,True,10.36,False,8.42,False,2026-07-31
HUBB,A,Hubbell Inc Common Stock,,472.55,304629654.31,44.82,True,25.41,True,22.70,True,2026-07-31
HUM,A,Humana Inc. Common Stock,,363.86,608453588.59,39.49,True,17.29,True,23.30,True,2026-07-31
IDCC,A,"InterDigital, Inc. - Common Stock",,304.83,92509766.13,58.91,True,45.57,True,42.19,True,2026-07-31
