# parquet_sha256=bf3c516ddc44c0972ed73add10238ab18281dfb9c5eefaf683e64c5b891a42f6
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,381.17,1435426465.29,15.75,True,8.76,False,6.00,False,2026-08-13
AEIS,A,"Advanced Energy Industries, Inc. - Common Stock",,329.54,214450069.95,32.61,True,4.52,False,13.10,False,2026-08-13
AGX,A,"Argan, Inc. Common Stock",,558.89,181299496.91,51.47,True,38.44,True,16.07,True,2026-08-13
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,357.62,93990604.97,25.18,True,2.28,False,5.45,False,2026-08-13
ALAB,A,"Astera Labs, Inc. - Common Stock",,322.78,1582014063.34,44.38,True,11.39,False,16.94,True,2026-08-13
AMAT,A,"Applied Materials, Inc. - Common Stock",,534.54,4480497789.92,42.18,True,4.60,False,22.54,True,2026-08-13
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,483.01,14057979813.99,35.78,True,0.35,False,13.80,False,2026-08-13
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,367.10,92167082.45,20.07,True,2.60,False,6.31,False,2026-08-13
AMGN,A,Amgen Inc. - Common Stock,,417.84,965551332.90,20.72,True,6.89,False,6.25,False,2026-08-13
AMP,A,"Ameriprise Financial, Inc. Common Stock",,570.68,296226176.70,21.37,True,18.70,True,5.61,False,2026-08-13
APD,A,"Air Products and Chemicals, Inc. Common Stock",,305.52,326948674.92,15.65,True,2.08,False,5.24,False,2026-08-13
APP,A,Applovin Corporation - Class A Common Stock,,312.67,2811572854.73,47.76,True,34.13,True,20.32,True,2026-08-13
AVGO,A,Broadcom Inc. - Common Stock,,417.82,7651110354.59,21.32,True,9.94,False,6.32,False,2026-08-13
AXON,A,"Axon Enterprise, Inc. - Common Stock",,615.59,551680330.64,117.67,True,44.58,True,39.98,True,2026-08-13
AYI,A,Acuity Inc. Common Stock,,359.77,103453507.79,15.94,True,0.19,False,6.18,False,2026-08-13
BAP,A,Credicorp Ltd. Common Stock,,375.14,105672807.08,25.46,True,11.79,False,5.21,False,2026-08-13
BH,A,Biglari Holdings Inc. Class B Common Stock,,388.16,61134992.74,32.80,True,1.61,False,8.12,False,2026-08-13
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,361.19,95152016.65,25.82,True,8.72,False,5.83,False,2026-08-13
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,433.26,3879546.95,46.73,True,32.91,True,18.09,True,2026-08-13
BURL,A,"Burlington Stores, Inc. Common Stock",,355.32,223898373.80,26.44,True,13.64,False,12.67,False,2026-08-13
CACC,A,Credit Acceptance Corporation - Common Stock,,582.89,80606006.13,26.91,True,2.69,False,9.04,False,2026-08-13
CACI,A,"CACI International, Inc. Class A Common Stock",,670.00,162343209.37,69.38,True,25.57,True,19.33,True,2026-08-13
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,323.77,762298910.08,27.01,True,15.47,True,7.33,False,2026-08-13
CHE,A,Chemed Corp,,537.17,87294547.51,29.68,True,15.55,True,12.34,False,2026-08-13
CIEN,A,Ciena Corporation Common Stock,,442.79,816873046.84,78.50,True,30.40,True,44.52,True,2026-08-13
CLS,A,"Celestica, Inc. Common Stock",,347.63,939466400.49,59.77,True,29.80,True,29.08,True,2026-08-13
CMI,A,Cummins Inc. Common Stock,,631.61,613583010.71,23.42,True,12.65,False,9.44,False,2026-08-13
COHR,A,Coherent Corp. Common Stock,,327.23,1847909021.51,75.96,True,51.90,True,53.98,True,2026-08-13
COR,A,"Cencora, Inc. Common Stock",,310.01,481098743.57,24.24,True,10.45,False,19.70,True,2026-08-13
CPAY,A,"Corpay, Inc. Common Stock",,425.24,209258328.42,35.32,True,32.30,True,15.56,True,2026-08-13
CRS,A,Carpenter Technology Corporation Common Stock,,535.57,378366642.75,54.67,True,35.09,True,22.41,True,2026-08-13
CSL,A,Carlisle Companies Incorporated Common Stock,,375.80,182581242.48,20.59,True,11.69,False,7.35,False,2026-08-13
CVCO,A,"Cavco Industries, Inc. - Common Stock",,607.10,66933077.40,26.94,True,14.87,False,11.01,False,2026-08-13
CW,A,Curtiss-Wright Corporation Common Stock,,688.83,178661196.61,47.29,True,2.69,False,34.88,True,2026-08-13
DAVE,A,Dave Inc.  - Class A Common Stock,,333.77,184769258.55,63.01,True,15.84,True,17.58,True,2026-08-13
DDS,A,"Dillard's, Inc. Common Stock",,613.81,78530994.78,84.61,True,1.67,False,22.21,True,2026-08-13
DE,A,Deere & Company Common Stock,,612.38,619074351.69,24.77,True,8.45,False,11.55,False,2026-08-13
DELL,A,Dell Technologies Inc. Class C Common Stock ,,494.51,2798495407.43,97.70,True,40.74,True,43.53,True,2026-08-13
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,601.22,28702624.67,66.33,True,36.53,True,44.21,True,2026-08-13
DPZ,A,Domino's Pizza Inc - Common Stock,,350.88,309302990.04,20.49,True,0.07,False,9.49,False,2026-08-13
DY,A,"Dycom Industries, Inc. Common Stock",,409.41,175893827.56,31.15,True,1.42,False,7.20,False,2026-08-13
ELV,A,"Elevance Health, Inc. Common Stock",,398.22,535951871.23,18.88,True,4.02,False,8.77,False,2026-08-13
ESE,A,ESCO Technologies Inc. Common Stock,,300.81,64150668.28,16.41,True,4.91,False,5.40,False,2026-08-13
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,779.62,63974889.66,102.69,True,79.52,True,69.96,True,2026-08-13
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,453.33,941777546.22,33.93,True,4.65,False,14.33,False,2026-08-13
EVR,A,Evercore Inc. Class A Common Stock,,312.43,169779388.54,20.63,True,6.49,False,12.48,False,2026-08-13
EXPE,A,"Expedia Group, Inc. - Common Stock",,328.31,453259045.24,25.36,True,17.63,True,7.06,False,2026-08-13
FDX,A,FedEx Corporation Common Stock,,339.35,497684941.73,26.94,True,20.78,True,12.58,False,2026-08-13
FFIV,A,"F5, Inc. - Common Stock",,416.00,271348808.42,25.54,True,15.77,True,9.76,False,2026-08-13
FN,A,Fabrinet Ordinary Shares,,566.49,381937611.88,70.00,True,4.11,False,46.00,True,2026-08-13
GE,A,GE Aerospace Common Stock,,360.64,1312954777.65,18.26,True,9.44,False,4.69,False,2026-08-13
GOOG,A,Alphabet Inc. - Class C Capital Stock,,343.94,6830555852.25,17.73,True,9.53,False,12.84,False,2026-08-13
GOOGL,A,Alphabet Inc. - Class A Common Stock,,346.36,10306640888.16,18.02,True,7.94,False,13.72,False,2026-08-13
HCA,A,"HCA Healthcare, Inc. Common Stock",,411.74,634714520.86,17.76,True,1.62,False,3.15,False,2026-08-13
HD,A,"Home Depot, Inc. (The) Common Stock",,341.70,1249886974.59,17.85,True,13.92,False,11.05,False,2026-08-13
HIFS,A,Hingham Institution for Savings - Common Stock,,312.40,12913627.35,26.65,True,10.83,False,12.64,False,2026-08-13
HLT,A,Hilton Worldwide Holdings Inc. Common Stock ,,320.82,669208279.61,15.51,True,3.22,False,7.87,False,2026-08-13
HUBB,A,Hubbell Inc Common Stock,,507.10,277105491.47,27.08,True,6.89,False,14.72,False,2026-08-13
HUM,A,Humana Inc. Common Stock,,384.97,549397829.72,29.70,True,0.03,False,16.01,True,2026-08-13
IDCC,A,"InterDigital, Inc. - Common Stock",,344.07,74398669.17,21.93,True,0.49,False,13.36,False,2026-08-13
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,566.93,366432156.46,44.61,True,19.74,True,16.06,True,2026-08-13
IESC,A,"IES Holdings, Inc. - Common Stock",,748.44,139300001.90,71.59,True,14.27,False,28.91,True,2026-08-13
INTU,A,Intuit Inc. - Common Stock,,358.29,1209551237.50,39.44,True,33.04,True,23.58,True,2026-08-13
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,401.27,1406452410.28,32.35,True,22.46,True,14.57,False,2026-08-13
JBL,A,Jabil Inc. Common Stock,,370.36,361342252.20,40.47,True,29.14,True,19.98,True,2026-08-13
JLL,A,Jones Lang LaSalle Incorporated Common Stock,,369.52,123367144.52,17.35,True,7.14,False,6.78,False,2026-08-13
KAI,A,Kadant Inc Common Stock,,331.03,37249557.45,16.65,True,6.60,False,4.85,False,2026-08-13
KEYS,A,Keysight Technologies Inc. Common Stock,,353.85,385171125.51,22.28,True,12.88,False,10.80,False,2026-08-13
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,376.97,106757265.55,15.36,True,3.21,False,6.00,False,2026-08-13
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,328.34,170835075.07,15.94,True,1.89,False,5.81,False,2026-08-13
LFUS,A,"Littelfuse, Inc. - Common Stock",,450.00,159265774.50,24.20,True,6.55,False,9.01,False,2026-08-13
LII,A,"Lennox International, Inc. Common Stock",,418.31,265457787.74,28.09,True,21.46,True,16.49,True,2026-08-13
