# parquet_sha256=871e8284f9b2cc63390cbbd7750cf17072d2f8e1031282a616d92a91baf080b6
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,311.30,16326558839.69,17.34,True,5.37,False,6.80,False,2026-08-20
ADI,A,"Analog Devices, Inc. - Common Stock",,370.24,1427738192.93,27.31,True,19.15,True,13.65,False,2026-08-20
AGX,A,"Argan, Inc. Common Stock",,516.58,179748817.77,95.99,True,61.64,True,36.24,True,2026-08-20
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,340.34,96949283.75,27.47,True,21.61,True,8.16,False,2026-08-20
AMAT,A,"Applied Materials, Inc. - Common Stock",,496.21,4107751977.08,52.34,True,10.97,False,28.13,True,2026-08-20
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,469.46,13300066073.66,57.08,True,44.94,True,21.61,True,2026-08-20
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,352.61,95981744.05,25.23,True,21.76,True,8.16,False,2026-08-20
AMGN,A,Amgen Inc. - Common Stock,,433.73,1017840231.19,32.80,True,18.52,True,17.08,True,2026-08-20
AMP,A,"Ameriprise Financial, Inc. Common Stock",,547.09,272467167.09,25.90,True,22.45,True,12.69,False,2026-08-20
AON,A,Aon plc Class A Ordinary Shares (Ireland),,351.93,440250897.42,18.23,True,3.90,False,8.61,False,2026-08-20
APP,A,Applovin Corporation - Class A Common Stock,,308.77,2609612459.15,22.00,True,6.67,False,4.72,False,2026-08-20
AVGO,A,Broadcom Inc. - Common Stock,,364.03,7542178162.09,54.89,True,28.96,True,17.52,True,2026-08-20
AXON,A,"Axon Enterprise, Inc. - Common Stock",,614.26,495504207.81,57.60,True,1.43,False,31.46,True,2026-08-20
AYI,A,Acuity Inc. Common Stock,,341.65,93771242.68,20.36,True,16.78,True,14.81,False,2026-08-20
BAP,A,Credicorp Ltd. Common Stock,,370.21,110308621.73,26.81,True,16.15,True,9.84,False,2026-08-20
BH,A,Biglari Holdings Inc. Class B Common Stock,,390.90,72964660.79,24.51,True,5.87,False,8.00,False,2026-08-20
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,376.46,96014703.56,28.91,True,20.20,True,12.20,False,2026-08-20
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,440.61,3733334.52,24.91,True,15.20,True,13.99,False,2026-08-20
BURL,A,"Burlington Stores, Inc. Common Stock",,333.23,253237780.52,29.74,True,14.44,False,10.82,False,2026-08-20
CACC,A,Credit Acceptance Corporation - Common Stock,,585.88,74695856.97,23.77,True,1.39,False,14.18,False,2026-08-20
CACI,A,"CACI International, Inc. Class A Common Stock",,646.35,162606206.02,34.24,True,24.19,True,21.20,True,2026-08-20
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,313.59,762056829.26,22.00,True,11.23,False,6.95,False,2026-08-20
CHE,A,Chemed Corp,,534.88,86951504.07,23.40,True,2.00,False,7.90,False,2026-08-20
CIEN,A,Ciena Corporation Common Stock,,392.48,840456304.11,68.90,True,36.29,True,39.64,True,2026-08-20
CLS,A,"Celestica, Inc. Common Stock",,302.00,973981045.93,60.81,True,33.05,True,29.81,True,2026-08-20
CMI,A,Cummins Inc. Common Stock,,593.24,594206894.61,52.78,True,38.02,True,20.35,True,2026-08-20
COR,A,"Cencora, Inc. Common Stock",,314.69,450353085.21,20.49,True,0.87,False,3.61,False,2026-08-20
CPAY,A,"Corpay, Inc. Common Stock",,412.00,209083952.42,20.18,True,5.60,False,9.98,False,2026-08-20
CRS,A,Carpenter Technology Corporation Common Stock,,489.08,361986551.57,63.70,True,55.51,True,22.00,True,2026-08-20
CSL,A,Carlisle Companies Incorporated Common Stock,,357.55,171286877.72,26.43,True,12.49,False,9.34,False,2026-08-20
CSW,A,"CSW Industrials, Inc. Common Stock",,322.62,49671625.94,28.59,True,22.53,True,10.72,False,2026-08-20
CVCO,A,"Cavco Industries, Inc. - Common Stock",,578.86,66197820.31,37.81,True,26.19,True,19.99,True,2026-08-20
CW,A,Curtiss-Wright Corporation Common Stock,,648.28,189248741.66,60.78,True,51.03,True,25.06,True,2026-08-20
DAVE,A,Dave Inc.  - Class A Common Stock,,335.01,177695369.70,34.77,True,0.44,False,11.91,False,2026-08-20
DDS,A,"Dillard's, Inc. Common Stock",,597.94,80646151.27,59.75,True,37.06,True,31.27,True,2026-08-20
DE,A,Deere & Company Common Stock,,620.94,666366114.03,59.69,True,12.09,False,40.31,True,2026-08-20
DELL,A,Dell Technologies Inc. Class C Common Stock ,,434.78,2646149688.26,73.22,True,56.03,True,31.10,True,2026-08-20
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,614.70,33631149.32,45.66,True,11.37,False,16.55,True,2026-08-20
DPZ,A,Domino's Pizza Inc - Common Stock,,334.37,307862659.75,23.90,True,11.90,False,10.85,False,2026-08-20
DY,A,"Dycom Industries, Inc. Common Stock",,400.23,167736435.68,42.48,True,18.84,True,18.19,True,2026-08-20
EME,A,"EMCOR Group, Inc. Common Stock",,787.39,343277331.62,79.94,True,48.90,True,38.01,True,2026-08-20
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,743.67,66319296.77,57.48,True,39.95,True,43.41,True,2026-08-20
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,415.29,929734579.37,43.81,True,36.22,True,24.07,True,2026-08-20
EXPE,A,"Expedia Group, Inc. - Common Stock",,324.17,457919800.52,18.26,True,8.52,False,14.19,False,2026-08-20
FDS,A,FactSet Research Systems Inc. Common Stock,,300.06,228523654.94,29.35,True,16.57,True,12.69,False,2026-08-20
FDX,A,FedEx Corporation Common Stock,,326.04,487274704.35,16.31,True,8.60,False,3.15,False,2026-08-20
FFIV,A,"F5, Inc. - Common Stock",,377.79,264015290.45,43.84,True,25.41,True,10.99,False,2026-08-20
FN,A,Fabrinet Ordinary Shares,,444.87,449060284.72,165.98,True,125.35,True,115.99,True,2026-08-20
GE,A,GE Aerospace Common Stock,,344.64,1375792760.64,32.02,True,23.74,True,18.86,True,2026-08-20
HCA,A,"HCA Healthcare, Inc. Common Stock",,406.27,617152875.25,22.00,True,1.59,False,6.75,False,2026-08-20
HD,A,"Home Depot, Inc. (The) Common Stock",,334.49,1314645846.04,19.71,True,4.37,False,9.81,False,2026-08-20
HEI,A,Heico Corporation Common Stock,,350.58,151257607.26,25.39,True,24.09,True,12.84,False,2026-08-20
