# parquet_sha256=f09fdd6742a0640b974244946ee9f94458410c46efe0242594fcbbc28513fb1e
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,324.96,15204250499.28,19.00,True,10.38,False,8.28,False,2026-09-02
ADI,A,"Analog Devices, Inc. - Common Stock",,355.71,1446173340.36,28.22,True,18.81,True,12.74,False,2026-09-02
AGX,A,"Argan, Inc. Common Stock",,410.40,163656857.18,68.93,True,49.56,True,42.22,True,2026-09-02
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,319.45,92649360.09,25.19,True,18.94,True,16.17,True,2026-09-02
AMAT,A,"Applied Materials, Inc. - Common Stock",,438.46,3764954539.77,51.41,True,43.90,True,20.69,True,2026-09-02
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,457.06,11410380044.07,30.70,True,19.61,True,11.11,False,2026-09-02
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,356.47,93093242.70,22.02,True,14.01,False,7.44,False,2026-09-02
AMGN,A,Amgen Inc. - Common Stock,,442.84,1072424066.33,19.57,True,5.85,False,8.24,False,2026-09-02
AMP,A,"Ameriprise Financial, Inc. Common Stock",,551.85,240780062.88,20.55,True,3.92,False,10.47,False,2026-09-02
AON,A,Aon plc Class A Ordinary Shares (Ireland),,330.88,424032650.45,45.79,True,18.68,True,33.88,True,2026-09-02
APP,A,Applovin Corporation - Class A Common Stock,,319.05,2253881838.23,30.17,True,6.42,False,7.31,False,2026-09-02
AVGO,A,Broadcom Inc. - Common Stock,,367.24,7745215367.54,15.98,True,4.30,False,2.75,False,2026-09-02
AXON,A,"Axon Enterprise, Inc. - Common Stock",,506.98,514140636.99,117.00,True,104.22,True,48.26,True,2026-09-02
AYI,A,Acuity Inc. Common Stock,,330.59,82223172.81,20.41,True,11.17,False,6.60,False,2026-09-02
BAP,A,Credicorp Ltd. Common Stock,,379.56,107366607.95,19.31,True,6.36,False,7.04,False,2026-09-02
BH,A,Biglari Holdings Inc. Class B Common Stock,,393.99,77090056.87,30.22,True,14.87,False,11.51,False,2026-09-02
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,388.51,101727305.21,16.00,True,1.43,False,7.55,False,2026-09-02
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,435.53,3356826.98,22.24,True,1.87,False,20.37,True,2026-09-02
CACC,A,Credit Acceptance Corporation - Common Stock,,607.77,69941235.26,21.76,True,7.29,False,13.59,False,2026-09-02
CACI,A,"CACI International, Inc. Class A Common Stock",,614.27,176246765.87,29.78,True,19.55,True,15.19,True,2026-09-02
CASY,A,"Caseys General Stores, Inc. - Common Stock",,753.59,258040342.37,63.51,True,9.79,False,14.70,False,2026-09-02
CAT,A,"Caterpillar, Inc. Common Stock",,792.28,2393255747.24,61.60,True,24.72,True,18.31,True,2026-09-02
CDNS,A,"Cadence Design Systems, Inc. - Common Stock",,306.67,764055577.77,44.06,True,40.88,True,25.74,True,2026-09-02
CHE,A,Chemed Corp,,523.99,86863334.23,43.95,True,3.72,False,8.82,False,2026-09-02
CIEN,A,Ciena Corporation Common Stock,,354.16,799022807.04,69.86,True,45.69,True,22.47,True,2026-09-02
CMI,A,Cummins Inc. Common Stock,,550.90,607878594.67,43.49,True,22.97,True,13.25,False,2026-09-02
COR,A,"Cencora, Inc. Common Stock",,336.36,431613083.68,18.87,True,15.13,True,7.37,False,2026-09-02
CPAY,A,"Corpay, Inc. Common Stock",,416.40,209658336.89,17.04,True,12.73,False,11.59,False,2026-09-02
CRS,A,Carpenter Technology Corporation Common Stock,,460.97,413484593.03,39.12,True,29.61,True,14.15,False,2026-09-02
CSL,A,Carlisle Companies Incorporated Common Stock,,341.93,201685266.11,34.17,True,18.81,True,11.73,False,2026-09-02
CSW,A,"CSW Industrials, Inc. Common Stock",,301.80,48047968.57,29.39,True,16.67,True,9.55,False,2026-09-02
CVCO,A,"Cavco Industries, Inc. - Common Stock",,561.85,64570382.59,35.25,True,8.42,False,9.27,False,2026-09-02
CW,A,Curtiss-Wright Corporation Common Stock,,561.53,230243173.52,65.85,True,43.96,True,16.46,True,2026-09-02
DAVE,A,Dave Inc.  - Class A Common Stock,,372.85,153815129.44,57.68,True,1.16,False,32.21,True,2026-09-02
DDS,A,"Dillard's, Inc. Common Stock",,636.66,100241378.05,27.86,True,5.95,False,10.42,False,2026-09-02
DE,A,Deere & Company Common Stock,,698.37,787615629.69,83.43,True,75.71,True,24.58,True,2026-09-02
DELL,A,Dell Technologies Inc. Class C Common Stock ,,492.20,3122088252.56,76.10,True,19.94,True,67.20,True,2026-09-02
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,617.54,39324522.38,56.82,True,13.31,False,7.69,False,2026-09-02
DPZ,A,Domino's Pizza Inc - Common Stock,,346.68,295000953.15,21.95,True,14.63,False,17.94,True,2026-09-02
ELV,A,"Elevance Health, Inc. Common Stock",,405.84,373555060.29,18.20,True,6.73,False,10.50,False,2026-09-02
