# parquet_sha256=71c46a402a589e8f1e0a4ac398b2d6efcb4bd3e2aba4d99d546d8f1424c7e646
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
AAPL,A,Apple Inc. - Common Stock,,319.97,15068888410.50,18.01,True,3.12,False,8.28,False,2026-09-04
ADI,A,"Analog Devices, Inc. - Common Stock",,362.25,1434016183.99,18.72,True,0.11,False,7.62,False,2026-09-04
AGX,A,"Argan, Inc. Common Stock",,417.99,166028590.68,33.38,True,7.00,False,20.24,True,2026-09-04
ALAB,A,"Astera Labs, Inc. - Common Stock",,310.40,1281471490.07,59.20,True,13.42,False,27.58,True,2026-09-04
AMAT,A,"Applied Materials, Inc. - Common Stock",,454.71,3724411151.58,39.77,True,3.68,False,18.80,True,2026-09-04
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,477.57,10987961873.20,38.33,True,6.85,False,21.41,True,2026-09-04
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,370.22,96436608.73,20.88,True,2.03,False,9.71,False,2026-09-04
AMGN,A,Amgen Inc. - Common Stock,,437.23,1056269471.41,19.81,True,7.35,False,8.24,False,2026-09-04
AMP,A,"Ameriprise Financial, Inc. Common Stock",,560.56,231831152.12,26.06,True,7.45,False,13.23,False,2026-09-04
AON,A,Aon plc Class A Ordinary Shares (Ireland),,323.09,432375817.57,30.34,True,1.57,False,4.78,False,2026-09-04
APP,A,Applovin Corporation - Class A Common Stock,,320.56,2206466479.13,26.53,True,8.50,False,7.31,False,2026-09-04
AVGO,A,Broadcom Inc. - Common Stock,,357.90,8447736003.41,30.42,True,12.44,False,10.08,False,2026-09-04
AXON,A,"Axon Enterprise, Inc. - Common Stock",,515.67,519212196.42,98.49,True,50.89,True,48.26,True,2026-09-04
BAP,A,Credicorp Ltd. Common Stock,,382.53,107726871.71,21.71,True,16.15,True,7.04,False,2026-09-04
BH,A,Biglari Holdings Inc. Class B Common Stock,,383.75,74208152.09,25.50,True,4.73,False,8.46,False,2026-09-04
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,386.11,97648689.17,18.09,True,0.01,False,7.55,False,2026-09-04
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,431.72,3313701.88,22.84,True,3.71,False,20.37,True,2026-09-04
CACC,A,Credit Acceptance Corporation - Common Stock,,604.72,67302690.87,31.60,True,4.98,False,13.59,False,2026-09-04
CACI,A,"CACI International, Inc. Class A Common Stock",,623.61,174882142.15,22.73,True,0.60,False,15.73,True,2026-09-04
CASY,A,"Caseys General Stores, Inc. - Common Stock",,756.09,259664668.09,38.38,True,3.88,False,14.70,False,2026-09-04
CHE,A,Chemed Corp,,519.84,86902991.08,25.16,True,1.13,False,8.82,False,2026-09-04
CIEN,A,Ciena Corporation Common Stock,,321.00,870637060.06,71.34,True,61.80,True,36.70,True,2026-09-04
CLS,A,"Celestica, Inc. Common Stock",,312.35,966162853.67,44.61,True,12.95,False,32.07,True,2026-09-04
CMI,A,Cummins Inc. Common Stock,,560.75,623679840.65,27.75,True,3.65,False,15.25,True,2026-09-04
COR,A,"Cencora, Inc. Common Stock",,330.95,434484260.61,19.67,True,7.35,False,7.37,False,2026-09-04
CPAY,A,"Corpay, Inc. Common Stock",,416.37,212256094.20,25.63,True,12.07,False,11.59,False,2026-09-04
CRS,A,Carpenter Technology Corporation Common Stock,,475.33,408070054.54,24.30,True,1.09,False,12.09,False,2026-09-04
CSL,A,Carlisle Companies Incorporated Common Stock,,352.14,204088498.00,23.45,True,5.56,False,11.73,False,2026-09-04
CSW,A,"CSW Industrials, Inc. Common Stock",,308.46,47505280.67,22.87,True,0.49,False,8.13,False,2026-09-04
CVCO,A,"Cavco Industries, Inc. - Common Stock",,566.19,64392552.71,28.29,True,7.06,False,9.00,False,2026-09-04
CW,A,Curtiss-Wright Corporation Common Stock,,566.75,231731550.32,35.56,True,15.78,True,16.46,True,2026-09-04
DAVE,A,Dave Inc.  - Class A Common Stock,,380.69,153240334.20,64.67,True,21.17,True,32.21,True,2026-09-04
DDS,A,"Dillard's, Inc. Common Stock",,656.69,100380141.16,47.30,True,30.72,True,15.41,True,2026-09-04
DE,A,Deere & Company Common Stock,,693.53,796611647.22,64.75,True,38.62,True,22.29,True,2026-09-04
DELL,A,Dell Technologies Inc. Class C Common Stock ,,524.14,3524151046.55,113.10,True,68.13,True,67.20,True,2026-09-04
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,627.87,40774341.97,43.22,True,4.94,False,9.28,False,2026-09-04
DY,A,"Dycom Industries, Inc. Common Stock",,300.23,220477944.71,18.42,True,9.02,False,9.68,False,2026-09-04
ELV,A,"Elevance Health, Inc. Common Stock",,407.50,379343893.49,25.78,True,14.96,False,10.50,False,2026-09-04
EME,A,"EMCOR Group, Inc. Common Stock",,754.16,316984898.96,35.84,True,19.62,True,12.84,False,2026-09-04
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,703.28,62500649.49,28.31,True,2.77,False,8.19,False,2026-09-04
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,410.85,899613893.11,26.46,True,8.97,False,13.73,False,2026-09-04
FDS,A,FactSet Research Systems Inc. Common Stock,,301.96,250628949.40,21.48,True,11.59,False,11.00,False,2026-09-04
FDX,A,FedEx Corporation Common Stock,,322.52,494543125.47,15.16,True,4.88,False,8.34,False,2026-09-04
FFIV,A,"F5, Inc. - Common Stock",,390.47,254403738.83,23.96,True,16.66,True,11.41,False,2026-09-04
FN,A,Fabrinet Ordinary Shares,,407.40,464613956.68,38.54,True,5.53,False,12.40,False,2026-09-04
GD,A,General Dynamics Corporation Common Stock,,359.39,383731821.24,20.95,True,11.96,False,6.48,False,2026-09-04
GPI,A,"Group 1 Automotive, Inc. Common Stock",,300.76,63054293.48,43.41,True,31.22,True,16.43,True,2026-09-04
HCA,A,"HCA Healthcare, Inc. Common Stock",,405.00,536485545.75,26.65,True,9.45,False,11.52,False,2026-09-04
HIFS,A,Hingham Institution for Savings - Common Stock,,307.99,15002518.67,29.43,True,19.72,True,13.00,False,2026-09-04
HUBB,A,Hubbell Inc Common Stock,,460.72,273560624.97,28.70,True,7.72,False,10.07,False,2026-09-04
HUM,A,Humana Inc. Common Stock,,401.54,484142690.46,31.38,True,18.31,True,11.65,False,2026-09-04
IDCC,A,"InterDigital, Inc. - Common Stock",,337.94,71608625.34,21.76,True,2.91,False,15.13,True,2026-09-04
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,535.38,329653582.53,39.19,True,21.31,True,11.53,False,2026-09-04
IESC,A,"IES Holdings, Inc. - Common Stock",,322.57,115837920.11,33.39,True,19.57,True,12.45,False,2026-09-04
INTU,A,Intuit Inc. - Common Stock,,332.70,1376633466.24,35.65,True,26.60,True,14.37,False,2026-09-04
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,366.70,985206655.86,19.18,True,10.16,False,7.61,False,2026-09-04
JBL,A,Jabil Inc. Common Stock,,310.57,325317913.19,23.42,True,5.31,False,6.53,False,2026-09-04
JLL,A,Jones Lang LaSalle Incorporated Common Stock,,362.36,124290665.95,28.55,True,3.51,False,12.37,False,2026-09-04
KEYS,A,Keysight Technologies Inc. Common Stock,,327.21,432682459.03,17.80,True,4.51,False,4.59,False,2026-09-04
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,373.17,86912695.11,17.52,True,0.73,False,9.81,False,2026-09-04
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,358.24,99990390.93,28.17,True,1.12,False,13.23,False,2026-09-04
LAD,A,"Lithia Motors, Inc. Common Stock",,386.81,114983549.45,23.12,True,19.49,True,7.83,False,2026-09-04
LFUS,A,"Littelfuse, Inc. - Common Stock",,419.07,123129911.49,24.37,True,6.89,False,4.83,False,2026-09-04
LII,A,"Lennox International, Inc. Common Stock",,390.53,254369233.90,19.21,True,7.89,False,12.08,False,2026-09-04
LIN,A,Linde plc - Ordinary Shares,,477.57,1029088499.12,16.01,True,12.01,False,5.26,False,2026-09-04
LMT,A,Lockheed Martin Corporation Common Stock,,525.28,608864227.63,40.95,True,35.95,True,16.73,True,2026-09-04
LPLA,A,LPL Financial Holdings Inc. - Common Stock,,359.33,241300963.87,20.28,True,10.81,False,12.50,False,2026-09-04
LRCX,A,Lam Research Corporation - Common Stock,,307.65,2827666768.44,32.26,True,6.16,False,14.99,False,2026-09-04
MA,A,Mastercard Incorporated Common Stock,,579.21,1708343372.77,16.47,True,10.10,False,8.21,False,2026-09-04
MAR,A,Marriott International - Class A Common Stock,,336.51,590255580.52,19.41,True,5.25,False,7.21,False,2026-09-04
MCO,A,Moody's Corporation Common Stock,,493.55,354516792.47,27.49,True,11.09,False,14.30,False,2026-09-04
MDB,A,"MongoDB, Inc. - Class A Common Stock",,368.74,719048946.64,90.07,True,84.63,True,58.81,True,2026-09-04
MDGL,A,"Madrigal Pharmaceuticals, Inc. - Common Stock",,541.08,169021206.73,28.79,True,1.05,False,8.22,False,2026-09-04
MEDP,A,"Medpace Holdings, Inc. - Common Stock",,591.29,144692586.72,17.47,True,2.70,False,10.78,False,2026-09-04
META,A,"Meta Platforms, Inc. - Class A Common Stock",,616.77,9859687440.98,63.36,True,44.43,True,17.83,True,2026-09-04
MLM,A,"Martin Marietta Materials, Inc. Common Stock",,514.77,344646447.10,25.90,True,3.93,False,13.78,False,2026-09-04
MPC,A,Marathon Petroleum Corporation Common Stock,,388.90,829788018.12,31.84,True,15.58,True,9.68,False,2026-09-04
MSCI,A,MSCI Inc. Common Stock,,573.01,328523182.40,21.38,True,2.37,False,14.02,False,2026-09-04
MSFT,A,Microsoft Corporation - Common Stock,,499.70,15153521778.30,21.84,True,7.59,False,13.30,False,2026-09-04
MSGS,A,Madison Square Garden Sports Corp. Class A Common Stock (New),,391.16,85797344.68,17.09,True,6.43,False,5.36,False,2026-09-04
MSI,A,"Motorola Solutions, Inc. Common Stock",,468.05,461017145.98,28.46,True,17.25,True,12.32,False,2026-09-04
MUSA,A,Murphy USA Inc. Common Stock,,511.33,162053213.19,31.63,True,4.06,False,21.06,True,2026-09-04
NOC,A,Northrop Grumman Corporation Common Stock,,514.98,380650301.43,37.23,True,24.72,True,13.26,False,2026-09-04
NSC,A,Norfolk Southern Corporation Common Stock,,329.46,408760890.79,24.94,True,13.33,False,9.83,False,2026-09-04
NTRA,A,"Natera, Inc. - Common Stock",,328.18,410524663.06,16.00,True,6.22,False,4.41,False,2026-09-04
NVMI,A,Nova Ltd. - Ordinary Shares,,372.10,208067401.72,41.38,True,23.65,True,19.40,True,2026-09-04
