# parquet_sha256=2970fa93110aab405c8366a8365b15b366e1096745d0747eb3b6c269a627f204
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,375.72,1322268580.76,17.35,True,14.70,False,13.07,False,2026-09-18
AGX,A,"Argan, Inc. Common Stock",,389.85,170573911.36,35.98,True,2.71,False,10.72,False,2026-09-18
ALAB,A,"Astera Labs, Inc. - Common Stock",,303.25,1084528395.42,52.32,True,46.21,True,24.38,True,2026-09-18
AMAT,A,"Applied Materials, Inc. - Common Stock",,444.57,3413173985.71,33.49,True,20.36,True,27.17,True,2026-09-18
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,559.82,9642214109.06,79.58,True,66.41,True,32.59,True,2026-09-18
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,355.80,99077768.37,18.52,True,5.82,False,9.36,False,2026-09-18
AMP,A,"Ameriprise Financial, Inc. Common Stock",,544.33,259226742.38,30.75,True,14.21,False,18.48,True,2026-09-18
APP,A,Applovin Corporation - Class A Common Stock,,308.06,1694768462.36,30.58,True,26.18,True,13.54,False,2026-09-18
AVGO,A,Broadcom Inc. - Common Stock,,357.61,9008092677.30,27.47,True,12.89,False,10.31,False,2026-09-18
AXON,A,"Axon Enterprise, Inc. - Common Stock",,447.76,524496123.41,65.43,True,42.42,True,48.10,True,2026-09-18
AXP,A,American Express Company Common Stock,,311.56,838334593.74,19.64,True,16.22,True,12.00,False,2026-09-18
AYI,A,Acuity Inc. Common Stock,,302.96,76200594.40,17.81,True,6.08,False,9.20,False,2026-09-18
BAP,A,Credicorp Ltd. Common Stock,,381.83,125976357.71,17.34,True,5.79,False,8.24,False,2026-09-18
BH,A,Biglari Holdings Inc. Class B Common Stock,,345.34,67234390.58,46.45,True,19.61,True,18.33,True,2026-09-18
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,376.41,95900659.89,20.05,True,7.86,False,9.45,False,2026-09-18
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,447.04,2165438.73,83.72,True,53.98,True,30.27,True,2026-09-18
CACC,A,Credit Acceptance Corporation - Common Stock,,578.29,67036780.82,47.44,True,27.07,True,12.12,False,2026-09-18
CACI,A,"CACI International, Inc. Class A Common Stock",,626.85,176335080.73,31.32,True,10.31,False,8.15,False,2026-09-18
CASY,A,"Caseys General Stores, Inc. - Common Stock",,597.48,372281716.70,41.84,True,24.13,True,34.47,True,2026-09-18
CHE,A,Chemed Corp,,504.06,79224771.67,23.27,True,10.23,False,7.82,False,2026-09-18
CIEN,A,Ciena Corporation Common Stock,,348.80,939904150.70,57.27,True,29.16,True,14.69,False,2026-09-18
CLS,A,"Celestica, Inc. Common Stock",,332.63,729901478.07,40.96,True,16.55,True,7.02,False,2026-09-18
CMI,A,Cummins Inc. Common Stock,,532.23,567017421.61,27.32,True,8.87,False,10.52,False,2026-09-18
COHR,A,Coherent Corp. Common Stock,,317.36,2201643451.46,52.96,True,50.86,True,21.38,True,2026-09-18
COR,A,"Cencora, Inc. Common Stock",,308.78,419669638.04,23.34,True,17.45,True,9.09,False,2026-09-18
CPAY,A,"Corpay, Inc. Common Stock",,397.76,180938941.03,18.90,True,14.80,False,6.50,False,2026-09-18
CRS,A,Carpenter Technology Corporation Common Stock,,408.12,351814015.34,36.33,True,12.26,False,5.09,False,2026-09-18
CSL,A,Carlisle Companies Incorporated Common Stock,,314.70,204923318.51,19.73,True,13.22,False,6.71,False,2026-09-18
CVCO,A,"Cavco Industries, Inc. - Common Stock",,531.04,54916639.66,36.15,True,4.63,False,5.14,False,2026-09-18
CW,A,Curtiss-Wright Corporation Common Stock,,568.27,256257446.34,41.58,True,17.06,True,11.64,False,2026-09-18
DAVE,A,Dave Inc.  - Class A Common Stock,,337.82,131703184.96,52.63,True,27.96,True,18.67,True,2026-09-18
DDS,A,"Dillard's, Inc. Common Stock",,636.26,113844130.67,44.87,True,16.13,True,13.23,False,2026-09-18
DE,A,Deere & Company Common Stock,,683.99,854651611.61,23.92,True,2.53,False,16.16,True,2026-09-18
DELL,A,Dell Technologies Inc. Class C Common Stock ,,568.06,4334137407.90,69.66,True,33.78,True,25.11,True,2026-09-18
DJCO,A,Daily Journal Corp. (S.C.) - Common Stock,,651.53,44985206.59,44.31,True,25.52,True,14.87,False,2026-09-18
ELV,A,"Elevance Health, Inc. Common Stock",,410.95,420428135.28,20.79,True,13.29,False,6.70,False,2026-09-18
EME,A,"EMCOR Group, Inc. Common Stock",,750.09,274378649.11,36.85,True,0.39,False,20.83,True,2026-09-18
ESLT,A,Elbit Systems Ltd. - Ordinary Shares,,743.35,59308010.92,38.58,True,18.44,True,10.40,False,2026-09-18
ETN,A,"Eaton Corporation, PLC Ordinary Shares",,424.77,807682308.60,38.34,True,31.61,True,15.31,True,2026-09-18
FFIV,A,"F5, Inc. - Common Stock",,432.03,212111032.73,34.88,True,20.54,True,19.39,True,2026-09-18
FN,A,Fabrinet Ordinary Shares,,388.55,431288350.96,37.76,True,6.00,False,17.77,True,2026-09-18
GOOG,A,Alphabet Inc. - Class C Capital Stock,,344.41,5462508041.60,17.68,True,1.30,False,4.32,False,2026-09-18
GOOGL,A,Alphabet Inc. - Class A Common Stock,,349.54,8155414719.99,18.80,True,0.15,False,4.46,False,2026-09-18
HCA,A,"HCA Healthcare, Inc. Common Stock",,427.71,592141429.16,26.40,True,2.22,False,6.61,False,2026-09-18
HIFS,A,Hingham Institution for Savings - Common Stock,,304.04,13571893.14,21.67,True,6.12,False,5.21,False,2026-09-18
HUM,A,Humana Inc. Common Stock,,386.22,381424035.21,35.73,True,20.80,True,11.90,False,2026-09-18
IDCC,A,"InterDigital, Inc. - Common Stock",,323.05,70004105.70,28.07,True,17.33,True,14.30,False,2026-09-18
IDXX,A,"IDEXX Laboratories, Inc. - Common Stock",,511.65,282727876.58,18.43,True,2.09,False,7.14,False,2026-09-18
IESC,A,"IES Holdings, Inc. - Common Stock",,322.16,99874876.27,32.09,True,2.61,False,13.61,False,2026-09-18
INTU,A,Intuit Inc. - Common Stock,,303.19,1323109577.85,41.64,True,35.96,True,11.14,False,2026-09-18
ISRG,A,"Intuitive Surgical, Inc. - Common Stock",,393.33,941182950.25,26.06,True,15.39,True,9.79,False,2026-09-18
JLL,A,Jones Lang LaSalle Incorporated Common Stock,,336.38,113773965.21,19.52,True,7.17,False,3.34,False,2026-09-18
KEYS,A,Keysight Technologies Inc. Common Stock,,335.00,431011546.69,26.45,True,20.04,True,9.40,False,2026-09-18
KNSL,A,"Kinsale Capital Group, Inc. Common Stock",,356.85,70970434.60,19.01,True,7.04,False,8.45,False,2026-09-18
KRYS,A,"Krystal Biotech, Inc. - Common Stock",,336.67,84343711.34,20.75,True,3.36,False,3.35,False,2026-09-18
LAD,A,"Lithia Motors, Inc. Common Stock",,316.27,82072705.62,55.36,True,44.00,True,17.55,True,2026-09-18
