# parquet_sha256=66872964afbb6487e99e6c4a7c83ffb2287c69521ced74b0fa9d3431e96645a0
ticker,bucket,name,sector,last_close,avg_dollar_vol,range_value,range_triggers,ret_5d_value,ret_5d_triggers,max_daily_value,max_daily_triggers,last_session_date
ADI,A,"Analog Devices, Inc. - Common Stock",,382.61,1345685278.85,27.42,True,6.89,False,7.37,False,2026-09-24
AGX,A,"Argan, Inc. Common Stock",,361.06,177393783.79,35.19,True,28.79,True,13.34,False,2026-09-24
AIT,A,"Applied Industrial Technologies, Inc. Common Stock",,332.02,101271094.53,22.68,True,10.18,False,9.40,False,2026-09-24
ALAB,A,"Astera Labs, Inc. - Common Stock",,360.51,1150623414.18,75.67,True,57.26,True,37.49,True,2026-09-24
AMAT,A,"Applied Materials, Inc. - Common Stock",,474.25,3326801620.23,54.90,True,29.68,True,19.67,True,2026-09-24
AMD,A,"Advanced Micro Devices, Inc. - Common Stock",,629.26,10687135881.14,89.27,True,69.44,True,55.70,True,2026-09-24
AMG,A,"Affiliated Managers Group, Inc. Common Stock",,370.71,101451351.88,22.27,True,14.91,False,8.86,False,2026-09-24
AMGN,A,Amgen Inc. - Common Stock,,406.04,1168543899.89,37.25,True,20.39,True,17.08,True,2026-09-24
AMP,A,"Ameriprise Financial, Inc. Common Stock",,485.15,288300475.84,74.60,True,59.18,True,23.35,True,2026-09-24
APP,A,Applovin Corporation - Class A Common Stock,,312.47,1571373329.32,32.17,True,4.41,False,22.11,True,2026-09-24
ARM,A,Arm Holdings plc - American Depositary Shares,,306.34,1291723167.31,75.33,True,30.73,True,47.29,True,2026-09-24
AVGO,A,Broadcom Inc. - Common Stock,,350.36,9296315367.36,19.66,True,7.25,False,9.55,False,2026-09-24
AXON,A,"Axon Enterprise, Inc. - Common Stock",,445.00,474340367.15,30.99,True,2.76,False,8.71,False,2026-09-24
AXP,A,American Express Company Common Stock,,305.66,899872926.60,16.83,True,5.90,False,8.52,False,2026-09-24
AYI,A,Acuity Inc. Common Stock,,309.45,77622668.83,18.64,True,6.49,False,4.71,False,2026-09-24
BAP,A,Credicorp Ltd. Common Stock,,383.01,123882705.17,15.60,True,1.18,False,8.14,False,2026-09-24
BH,A,Biglari Holdings Inc. Class B Common Stock,,348.61,61260901.82,17.79,True,3.27,False,3.17,False,2026-09-24
BIO,A,"Bio-Rad Laboratories, Inc. Class A Common Stock",,387.54,100067836.02,15.91,True,11.13,False,8.66,False,2026-09-24
BRKRP,A,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",,468.57,2469748.11,36.04,True,21.53,True,29.41,True,2026-09-24
